#X,Y,Z,attr 
 40800.000, 68459.791,  -543.537,     0.958
 40800.000,112067.644,  -930.952,     0.454
 40800.000,113159.791,  -922.279,     0.863
 40800.000, 59176.545,  -511.735,     0.972
 40800.000, 68069.738,  -497.279,     0.687
 40800.000, 90536.754,  -797.959,     0.249
 40800.000, 41312.147,  -248.639,     0.524
 40800.000, 50673.403,  -323.810,     0.839
 40800.000, 55588.063,  -482.823,     0.982
 40800.000, 98727.853,  -800.850,     0.824
 40800.000, 85076.021,  -757.483,     0.867
 40800.000, 79303.246,  -662.075,     0.608
 40800.000, 74778.639,  -653.401,     0.961
 40800.000,103174.450,  -852.891,     0.633
 40800.000, 47943.037,  -320.918,     0.984
 40800.000,103174.450,  -826.871,     0.345
 40800.000, 66899.581,  -543.537,     0.865
 40800.000, 92252.984,  -850.000,     0.224
 40800.000, 50595.393,  -300.680,     0.600
 40800.000,111677.592,  -861.565,     0.570
 40800.000, 54729.948,  -372.959,     0.866
 40800.000, 56914.241,  -381.633,     0.778
 40800.000, 68459.791,  -479.932,     0.890
 40800.000, 93033.089,  -792.177,     0.453
 40800.000, 63701.152,  -563.776,     0.910
 40800.000, 66119.476,  -393.197,     0.949
 40800.000, 92487.016,  -847.109,     0.413
 40800.000, 66197.487,  -552.211,     0.737
 40800.000, 54651.937,  -425.000,     0.973
 40800.000, 97635.707,  -867.347,     0.616
 40800.000, 52311.623,  -312.245,     0.453
 40800.000, 71580.209,  -445.238,     0.882
 40800.000, 71658.220,  -543.537,     0.678
 40800.000, 70488.063,  -534.864,     0.637
 40800.000, 71970.262,  -517.517,     0.816
 40800.000, 61906.911,  -413.435,     0.686
 40800.000, 41780.209,  -297.789,     0.742
 40800.000, 61282.827,  -378.741,     0.704
 40800.000, 70176.021,  -430.782,     0.577
 40800.000, 59254.555,  -407.653,     0.536
 40800.000, 55978.115,  -433.673,     0.911
 40800.000, 72750.366,  -644.728,     0.743
 40800.000, 70566.073,  -575.340,     0.967
 40800.000,102862.408,  -832.653,     0.434
 40800.000, 77430.995,  -569.558,     0.101
 40800.000, 96387.539,  -864.456,     0.706
 40800.000, 73296.440,  -546.429,     0.822
 40800.000, 46226.806,  -352.721,     0.054
 40800.000, 80161.361,  -679.422,     0.581
 40800.000, 65963.455,  -488.605,     0.820
 40800.000, 83515.812,  -708.333,     0.651
 40800.000, 70098.010,  -508.844,     0.938
 40800.000, 74622.618,  -589.796,     0.944
 40800.000,100210.052,  -884.694,     0.610
 40800.000, 70878.115,  -445.238,     0.785
 40800.000, 68615.812,  -430.782,     0.606
 40800.000, 71190.157,  -615.816,     0.680
 40800.000, 80473.403,  -673.639,     0.486
 40800.000,106450.890,  -850.000,     0.214
 40800.000, 97635.707,  -881.803,     0.813
 40800.000, 71034.136,  -491.497,     0.918
 40800.000, 64637.277,  -459.694,     0.925
 40800.000, 65183.351,  -531.973,     0.843
 40800.000, 65807.435,  -404.762,     0.600
 40800.000, 40844.084,  -263.095,     0.737
 40800.000,100678.115,  -899.150,     0.535
 40800.000,113003.770,  -899.150,     0.523
