#X,Y,Z,attr 
 40800.000, 59566.597,  -557.993,     0.052
 40800.000, 90458.743,  -899.150,     0.829
 40800.000, 98961.885, -1150.680,     0.812
 40800.000, 90770.785,  -922.279,     0.818
 40800.000, 83905.864,  -829.762,     0.921
 40800.000,103642.513, -1194.048,     0.468
 40800.000, 92018.953,  -939.626,     0.870
 40800.000, 93423.141, -1127.551,     0.929
 40800.000,100600.105, -1075.510,     0.699
 40800.000, 63155.079,  -638.946,     0.863
 40800.000, 66509.529,  -725.680,     0.722
 40800.000, 97635.707, -1037.925,     0.670
 40800.000,113081.780, -1046.599,     0.597
 40800.000, 89288.586,  -939.626,     0.794
 40800.000, 43340.419,  -427.891,     0.951
 40800.000, 89210.576,  -861.565,     0.458
 40800.000, 55041.990,  -537.755,     0.706
 40800.000,112847.749, -1110.204,     0.787
 40800.000, 40532.042,  -442.347,     0.095
 40800.000, 58786.492,  -647.619,     0.906
 40800.000, 46226.806,  -482.823,     0.961
 40800.000, 96777.592, -1130.442,     0.762
 40800.000, 72906.387,  -786.395,     0.922
 40800.000,106684.921,  -948.299,     0.830
 40800.000, 72750.366,  -754.592,     0.776
 40800.000, 64325.236,  -630.272,     0.630
 40800.000, 62609.005,  -693.878,     0.592
 40800.000, 70722.094,  -743.027,     0.971
 40800.000, 66431.518,  -714.116,     0.808
 40800.000,101692.251,  -930.952,     0.663
 40800.000, 94749.319, -1150.680,     0.026
 40800.000, 94515.288, -1020.578,     0.929
 40800.000,109961.361, -1124.660,     0.939
 40800.000, 41858.220,  -433.673,     0.830
 40800.000, 68537.801,  -728.571,     0.819
 40800.000, 67289.634,  -624.490,     0.722
 40800.000,114173.927, -1130.442,     0.554
 40800.000,106216.859, -1087.075,     0.878
 40800.000,111365.550, -1006.122,     0.717
 40800.000,104812.670, -1147.789,     0.933
 40800.000, 91316.859, -1009.014,     0.640
 40800.000, 78601.152,  -870.238,     0.717
 40800.000, 85076.021,  -959.864,     0.650
 40800.000,106762.932, -1061.054,     0.873
 40800.000, 83281.780,  -910.714,     0.872
 40800.000,113393.822, -1098.639,     0.813
 40800.000, 82579.686,  -988.776,     0.973
 40800.000,101068.168, -1121.769,     0.545
 40800.000, 92330.995, -1000.340,     0.984
