#X,Y,Z,attr 
 40800.000,112301.675,  -156.122,     0.437
 40800.000, 83671.832,  -147.449,     0.806
 40800.000, 54573.927,  -112.755,     0.867
 40800.000, 97479.686,  -147.449,     0.661
 40800.000,100834.136,  -199.490,     0.945
 40800.000, 43574.450,   -28.912,     0.786
 40800.000, 68069.738,  -104.082,     0.628
 40800.000,111755.602,  -208.163,     0.941
 40800.000,106294.869,   -95.408,     0.387
 40800.000, 61126.806,  -124.320,     0.761
 40800.000,111521.571,   -72.279,     0.686
 40800.000, 99117.906,   -78.061,     0.724
 40800.000, 61282.827,   -54.932,     0.570
 40800.000, 95217.382,   -57.823,     0.941
 40800.000,109571.309,  -234.184,     0.661
 40800.000, 77274.974,  -109.864,     0.931
 40800.000, 43808.482,   -83.844,     0.841
 40800.000, 96153.508,   -83.844,     0.713
 40800.000, 90848.796,  -121.429,     0.640
 40800.000,109103.246,  -176.361,     0.542
 40800.000,101458.220,   -34.694,     0.125
 40800.000, 99351.937,  -150.340,     0.766
 40800.000, 96231.518,  -185.034,     0.836
 40800.000, 53403.770,  -106.973,     0.532
 40800.000, 94359.267,  -153.231,     0.592
 40800.000, 61984.921,   -52.041,     0.868
 40800.000, 70878.115,   -89.626,     0.267
 40800.000, 97635.707,  -193.707,     0.854
 40800.000, 75636.754,  -112.755,     0.663
 40800.000, 43808.482,   -46.259,     0.907
 40800.000,103720.524,  -176.361,     0.811
 40800.000, 85934.136,  -112.755,     0.851
 40800.000, 83905.864,  -141.667,     0.549
 40800.000, 77977.068,  -104.082,     0.869
 40800.000, 62843.037,   -57.823,     0.561
 40800.000, 88898.534,  -190.816,     0.914
 40800.000, 86714.241,   -92.517,     0.603
 40800.000, 71970.262,   -52.041,     0.831
 40800.000,110663.455,  -222.619,     0.966
 40800.000, 83281.780,   -43.367,     0.452
 40800.000, 45992.775,   -83.844,     0.566
 40800.000, 62765.026,   -69.388,     0.418
 40800.000, 95685.445,  -167.687,     0.969
 40800.000, 74076.545,   -43.367,     0.588
 40800.000, 85076.021,   -75.170,     0.517
 40800.000,102082.304,   -52.041,     0.473
 40800.000, 45758.743,   -63.605,     0.534
 40800.000, 55041.990,   -89.626,     0.302
 40800.000, 48567.120,   -43.367,     0.720
 40800.000, 99195.916,  -135.884,     0.904
 40800.000, 79693.298,   -78.061,     0.641
 40800.000, 62609.005,   -75.170,     0.654
 40800.000, 56758.220,   -60.714,     0.505
 40800.000, 93423.141,   -49.150,     0.938
 40800.000, 75792.775,   -63.605,     0.509
 40800.000, 78601.152,   -54.932,     0.533
 40800.000, 79459.267,   -69.388,     0.663
 40800.000, 99429.948,   -46.259,     0.792
 40800.000, 71970.262,   -57.823,     0.894
 40800.000, 59722.618,   -78.061,     0.675
 40800.000, 88742.513,   -52.041,     0.817
 40800.000, 84685.969,   -98.299,     0.498
 40800.000, 43418.429,   -26.020,     0.231
 40800.000,108245.131,   -95.408,     0.412
 40800.000, 93501.152,  -182.143,     0.922
 40800.000, 93735.183,  -173.469,     0.924
 40800.000, 73374.450,   -46.259,     0.619
 40800.000, 75558.743,   -69.388,     0.617
 40800.000, 55588.063,   -95.408,     0.310
