#X,Y,Z,attr 
 40800.000, 71190.157,  -263.095,     0.790
 40800.000,104188.586,  -439.456,     0.897
 40800.000, 97401.675,  -219.728,     0.562
 40800.000, 72126.283,  -208.163,     0.961
 40800.000, 54573.927,  -167.687,     0.467
 40800.000, 68849.843,  -138.776,     0.680
 40800.000, 87026.283,  -303.571,     0.957
 40800.000, 64247.225,  -257.313,     0.335
 40800.000,112301.675,  -422.109,     0.503
 40800.000, 89834.660,  -323.810,     0.610
 40800.000,103408.482,  -349.830,     0.518
 40800.000, 95373.403,  -398.980,     0.953
 40800.000, 79147.225,  -257.313,     0.933
 40800.000,101692.251,  -436.565,     0.897
 40800.000,111599.581,  -410.544,     0.722
 40800.000,102082.304,  -338.265,     0.595
 40800.000, 65105.340,  -159.014,     0.743
 40800.000, 94749.319,  -370.068,     0.973
 40800.000,108245.131,  -268.878,     0.960
 40800.000,105982.827,  -268.878,     0.941
 40800.000, 90614.764,  -306.463,     0.906
 40800.000, 91082.827,  -309.354,     0.753
 40800.000,111209.529,  -479.932,     0.900
 40800.000, 43418.429,   -95.408,     0.481
 40800.000,107699.058,  -453.912,     0.976
 40800.000,112925.759,  -292.007,     0.897
 40800.000, 88586.492,  -292.007,     0.937
 40800.000, 55432.042,  -127.211,     0.290
 40800.000, 86792.251,  -355.612,     0.945
 40800.000, 61360.838,  -182.143,     0.918
 40800.000, 94671.309,  -361.395,     0.912
 40800.000, 48411.099,  -121.429,     0.797
 40800.000, 75246.702,  -187.925,     0.855
 40800.000, 96387.539,  -211.054,     0.793
 40800.000, 54573.927,  -213.946,     0.937
 40800.000, 90224.712,  -190.816,     0.278
 40800.000,110351.414,  -300.680,     0.952
 40800.000,110351.414,  -465.476,     0.869
 40800.000,109805.340,  -367.177,     0.795
 40800.000,113003.770,  -439.456,     0.949
 40800.000, 76806.911,  -187.925,     0.796
 40800.000, 71970.262,  -199.490,     0.842
 40800.000, 59488.586,  -144.558,     0.373
 40800.000, 99195.916,  -225.510,     0.784
 40800.000, 67913.717,  -182.143,     0.910
 40800.000, 73998.534,  -190.816,     0.807
 40800.000,113315.812,  -618.707,     0.922
 40800.000, 54261.885,  -135.884,     0.868
 40800.000,113159.791,  -575.340,     0.882
 40800.000, 94671.309,  -364.286,     0.937
 40800.000, 97635.707,  -237.075,     0.556
 40800.000, 79225.236,  -268.878,     0.899
 40800.000, 88976.545,  -237.075,     0.689
 40800.000,109493.298,  -393.197,     0.954
 40800.000,102004.293,  -248.639,     0.815
 40800.000,107699.058,  -442.347,     0.750
 40800.000, 40220.000,  -109.864,     0.844
 40800.000, 86870.262,  -254.422,     0.926
 40800.000, 53559.791,  -138.776,     0.914
 40800.000,103954.555,  -372.959,     0.918
 40800.000, 95997.487,  -361.395,     0.929
 40800.000, 92955.079,  -320.918,     0.929
 40800.000, 56992.251,  -231.293,     0.261
 40800.000,107621.047,  -361.395,     0.778
 40800.000, 99507.958,  -280.442,     0.963
 40800.000, 43184.398,  -121.429,     0.302
 40800.000,100834.136,  -277.551,     0.903
 40800.000, 76182.827,  -179.252,     0.831
 40800.000,109649.319,  -546.429,     0.988
 40800.000, 99117.906,  -396.088,     0.807
 40800.000, 84139.895,  -283.333,     0.722
 40800.000,103564.503,  -297.789,     0.576
 40800.000, 87494.346,  -326.701,     0.490
 40800.000, 83359.791,  -257.313,     0.690
 40800.000, 95373.403,  -242.857,     0.825
 40800.000, 64715.288,  -187.925,     0.820
 40800.000, 91082.827,  -367.177,     0.859
 40800.000, 95295.393,  -370.068,     0.912
 40800.000,100756.126,  -292.007,     0.894
 40800.000, 75324.712,  -199.490,     0.890
 40800.000,114641.990,  -260.204,     0.929
 40800.000, 56368.168,  -141.667,     0.933
 40800.000, 95529.424,  -271.769,     0.941
 40800.000, 87962.408,  -346.939,     0.759
 40800.000, 74154.555,  -260.204,     0.612
 40800.000, 99117.906,  -367.177,     0.645
 40800.000,107543.037,  -245.748,     0.540
 40800.000, 78679.162,  -234.184,     0.539
 40800.000,110351.414,  -355.612,     0.720
 40800.000, 90380.733,  -318.027,     0.796
 40800.000,103330.471,  -231.293,     0.587
 40800.000, 63155.079,  -144.558,     0.830
 40800.000, 87104.293,  -274.660,     0.893
 40800.000, 53871.832,  -219.728,     0.647
 40800.000, 83125.759,  -187.925,     0.955
 40800.000, 88118.429,  -216.837,     0.621
 40800.000, 81643.560,  -208.163,     0.441
 40800.000, 81565.550,  -289.116,     0.816
 40800.000, 94905.340,  -338.265,     0.930
 40800.000,111521.571,  -534.864,     0.425
 40800.000,103408.482,  -358.503,     0.779
 40800.000, 83125.759,  -164.796,     0.245
 40800.000, 61516.859,  -144.558,     0.945
 40800.000, 69395.916,  -257.313,     0.916
 40800.000, 53247.749,  -138.776,     0.976
 40800.000, 65963.455,  -199.490,     0.753
 40800.000, 62999.058,  -164.796,     0.878
 40800.000,111989.634,  -349.830,     0.949
 40800.000, 54105.864,  -193.707,     0.966
 40800.000, 61438.848,  -196.599,     0.889
 40800.000,102784.398,  -471.259,     0.559
 40800.000, 62999.058,  -132.993,     0.964
 40800.000, 54495.916,  -141.667,     0.986
 40800.000, 50127.330,  -190.816,     0.959
 40800.000, 53481.780,  -199.490,     0.836
 40800.000, 71580.209,  -164.796,     0.693
 40800.000,114173.927,  -563.776,     0.848
 40800.000, 62999.058,  -213.946,     0.940
 40800.000,113003.770,  -309.354,     0.670
 40800.000,102940.419,  -283.333,     0.904
 40800.000, 82345.654,  -265.986,     0.941
 40800.000, 92096.963,  -381.633,     0.949
 40800.000, 92955.079,  -355.612,     0.953
 40800.000, 74076.545,  -182.143,     0.678
 40800.000, 68615.812,  -202.381,     0.912
 40800.000,106294.869,  -384.524,     0.858
 40800.000, 58396.440,  -187.925,     0.832
 40800.000,101926.283,  -326.701,     0.513
 40800.000,105124.712,  -416.327,     0.520
 40800.000,110117.382,  -370.068,     0.684
 40800.000, 82735.707,  -161.905,     0.109
 40800.000,105436.754,  -234.184,     0.671
 40800.000,102082.304,  -372.959,     0.982
 40800.000, 86792.251,  -228.401,     0.673
 40800.000, 91706.911,  -228.401,     0.637
 40800.000, 99741.990,  -211.054,     0.330
 40800.000, 58708.482,  -164.796,     0.468
 40800.000, 48099.058,  -141.667,     0.455
 40800.000, 91628.901,  -208.163,     0.860
 40800.000,101770.262,  -263.095,     0.901
 40800.000,102706.387,  -239.966,     0.875
 40800.000,107855.079,  -436.565,     0.623
 40800.000, 73686.492,  -161.905,     0.843
 40800.000, 62140.942,  -222.619,     0.978
 40800.000, 78835.183,  -159.014,     0.530
 40800.000, 91784.921,  -309.354,     0.578
 40800.000, 90848.796,  -237.075,     0.598
 40800.000,106606.911,  -433.673,     0.658
 40800.000, 98025.759,  -320.918,     0.689
 40800.000, 76026.806,  -170.578,     0.836
 40800.000, 96465.550,  -228.401,     0.871
 40800.000,111287.539,  -508.844,     0.871
 40800.000,109025.236,  -277.551,     0.890
 40800.000, 99273.927,  -358.503,     0.816
 40800.000, 86558.220,  -352.721,     0.957
 40800.000,109337.277,  -280.442,     0.957
 40800.000,102238.325,  -294.898,     0.910
 40800.000, 68069.738,  -234.184,     0.921
 40800.000,109649.319,  -398.980,     0.728
 40800.000, 69317.906,  -141.667,     0.540
 40800.000,113705.864,  -254.422,     0.873
 40800.000, 53793.822,  -211.054,     0.805
 40800.000, 59800.628,  -132.993,     0.796
 40800.000, 85622.094,  -242.857,     0.686
 40800.000,106372.880,  -387.415,     0.870
 40800.000,103408.482,  -315.136,     0.713
 40800.000, 78211.099,  -205.272,     0.906
 40800.000, 91316.859,  -265.986,     0.926
 40800.000,108947.225,  -482.823,     0.567
 40800.000, 87494.346,  -309.354,     0.793
 40800.000, 90224.712,  -280.442,     0.774
 40800.000, 63857.173,  -219.728,     0.606
 40800.000, 68225.759,  -193.707,     0.938
 40800.000, 75558.743,  -156.122,     0.708
 40800.000, 40766.073,  -130.102,     0.448
 40800.000,108947.225,  -254.422,     0.571
 40800.000, 86402.199,  -320.918,     0.661
 40800.000,111443.560,  -413.435,     0.595
 40800.000,108791.204,  -306.463,     0.848
 40800.000, 76260.838,  -242.857,     0.914
 40800.000, 81643.560,  -257.313,     0.921
 40800.000,114407.958,  -465.476,     0.928
 40800.000,105670.785,  -471.259,     0.976
 40800.000,113159.791,  -338.265,     0.881
 40800.000, 90068.691,  -381.633,     0.546
 40800.000,107387.016,  -534.864,     0.489
 40800.000, 48723.141,  -144.558,     0.378
