#X,Y,Z,attr 
 40800.000, 73764.503,  -543.537,     0.809
 40800.000,104266.597,  -884.694,     0.603
 40800.000, 80395.393,  -670.748,     0.508
 40800.000, 94515.288,  -838.435,     0.655
 40800.000, 89366.597,  -803.741,     0.629
 40800.000, 49191.204,  -346.939,     0.652
 40800.000, 57772.356,  -494.388,     0.581
 40800.000,113705.864,  -907.823,     0.399
 40800.000,106372.880,  -899.150,     0.586
 40800.000, 59254.555,  -508.844,     0.851
 40800.000, 46538.848,  -320.918,     0.730
 40800.000, 95451.414,  -850.000,     0.929
 40800.000, 59800.628,  -361.395,     0.837
 40800.000, 44588.586,  -268.878,     0.644
 40800.000,109181.257,  -876.020,     0.738
 40800.000, 81409.529,  -711.224,     0.558
 40800.000, 80551.414,  -612.925,     0.042
 40800.000, 56680.209,  -410.544,     0.530
 40800.000, 42716.335,  -280.442,     0.323
 40800.000, 68771.832,  -560.884,     0.963
 40800.000,104266.597,  -829.762,     0.849
 40800.000, 77977.068,  -690.986,     0.715
 40800.000,102628.377,  -838.435,     0.789
 40800.000, 84451.937,  -728.571,     0.592
 40800.000,114017.906,  -858.673,     0.343
 40800.000, 71736.230,  -601.361,     0.659
 40800.000,109415.288,  -930.952,     0.457
 40800.000,110039.372,  -864.456,     0.832
 40800.000, 51765.550,  -323.810,     0.896
 40800.000, 78757.173,  -584.014,     0.106
 40800.000, 72984.398,  -638.946,     0.708
 40800.000,100366.073,  -838.435,     0.734
 40800.000, 62374.974,  -462.585,     0.718
 40800.000, 79381.257,  -641.837,     0.751
 40800.000, 63155.079,  -416.327,     0.463
 40800.000, 70644.084,  -427.891,     0.571
 40800.000,108557.173,  -907.823,     0.969
 40800.000, 75714.764,  -618.707,     0.738
 40800.000,114173.927,  -922.279,     0.835
 40800.000, 65027.330,  -384.524,     0.925
 40800.000, 67445.654,  -439.456,     0.690
 40800.000, 83359.791,  -699.660,     0.498
 40800.000, 83437.801,  -708.333,     0.678
 40800.000, 77665.026,  -595.578,     0.634
 40800.000, 62218.953,  -390.306,     0.922
 40800.000, 50751.414,  -332.483,     0.342
 40800.000, 64637.277,  -497.279,     0.417
 40800.000, 60970.785,  -433.673,     0.959
 40800.000, 70332.042,  -396.088,     0.479
 40800.000, 70176.021,  -523.299,     0.819
 40800.000, 74154.555,  -575.340,     0.937
 40800.000, 83593.822,  -659.184,     0.110
 40800.000, 66743.560,  -584.014,     0.443
 40800.000, 84607.958,  -766.156,     0.516
 40800.000,112613.717,  -864.456,     0.801
 40800.000,108011.099,  -847.109,     0.132
 40800.000, 81487.539,  -633.163,     0.810
 40800.000, 83437.801,  -740.136,     0.936
 40800.000, 68849.843,  -422.109,     0.834
 40800.000,103174.450,  -876.020,     0.614
 40800.000, 53325.759,  -370.068,     0.718
 40800.000, 73920.524,  -552.211,     0.915
 40800.000, 66587.539,  -526.190,     0.894
 40800.000, 44822.618,  -292.007,     0.900
 40800.000, 73374.450,  -598.469,     0.649
 40800.000, 70410.052,  -543.537,     0.736
 40800.000, 60736.754,  -537.755,     0.930
 40800.000, 96933.613,  -783.503,     0.699
 40800.000, 64325.236,  -477.041,     0.968
 40800.000, 45758.743,  -344.048,     0.973
 40800.000, 69941.990,  -575.340,     0.979
 40800.000, 41234.136,  -274.660,     0.905
 40800.000, 69863.979,  -445.238,     0.937
 40800.000, 49815.288,  -349.830,     0.832
 40800.000,103330.471,  -896.259,     0.889
 40800.000, 69551.937,  -572.449,     0.953
 40800.000, 66509.529,  -508.844,     0.514
 40800.000, 49659.267,  -300.680,     0.491
 40800.000, 91784.921,  -806.633,     0.318
 40800.000, 67445.654,  -569.558,     0.806
 40800.000, 91628.901,  -812.415,     0.331
 40800.000, 99585.969,  -821.088,     0.465
 40800.000, 93735.183,  -832.653,     0.869
 40800.000, 89522.618,  -743.027,     0.787
 40800.000, 56212.147,  -462.585,     0.906
 40800.000, 79771.309,  -664.966,     0.263
 40800.000, 58006.387,  -448.129,     0.961
 40800.000, 72516.335,  -566.667,     0.405
 40800.000, 64403.246,  -500.170,     0.578
 40800.000,103720.524,  -838.435,     0.365
 40800.000, 81955.602,  -722.789,     0.687
 40800.000,109415.288,  -884.694,     0.664
 40800.000, 60112.670,  -459.694,     0.957
 40800.000, 51921.571,  -326.701,     0.927
 40800.000, 82813.717,  -659.184,     0.478
 40800.000, 81019.476,  -688.095,     0.615
 40800.000, 82891.728,  -708.333,     0.468
 40800.000, 86792.251,  -743.027,     0.720
 40800.000, 65027.330,  -491.497,     0.508
 40800.000,113705.864,  -916.497,     0.316
 40800.000, 95607.435,  -821.088,     0.425
 40800.000,100444.084,  -881.803,     0.889
 40800.000, 69161.885,  -523.299,     0.706
 40800.000, 63077.068,  -422.109,     0.595
 40800.000, 85622.094,  -748.810,     0.633
 40800.000, 58630.471,  -370.068,     0.744
 40800.000, 46148.796,  -346.939,     0.840
 40800.000, 43964.503,  -283.333,     0.809
 40800.000, 77274.974,  -624.490,     0.377
 40800.000,110897.487,  -887.585,     0.658
 40800.000, 70098.010,  -453.912,     0.992
 40800.000, 67835.707,  -491.497,     0.911
 40800.000, 67289.634,  -465.476,     0.763
 40800.000, 62530.995,  -514.626,     0.848
 40800.000,105436.754,  -867.347,     0.676
 40800.000, 87104.293,  -754.592,     0.423
 40800.000, 61906.911,  -425.000,     0.967
 40800.000, 71502.199,  -546.429,     0.517
 40800.000,110273.403,  -925.170,     0.921
 40800.000, 95919.476,  -876.020,     0.719
 40800.000, 76494.869,  -696.769,     0.659
 40800.000, 66041.466,  -393.197,     0.935
 40800.000,103876.545,  -864.456,     0.729
 40800.000, 80161.361,  -696.769,     0.871
 40800.000, 59800.628,  -445.238,     0.968
 40800.000, 61984.921,  -517.517,     0.501
 40800.000, 69395.916,  -534.864,     0.930
 40800.000, 41390.157,  -265.986,     0.613
 40800.000, 51141.466,  -349.830,     0.945
 40800.000,108479.162,  -910.714,     0.890
 40800.000, 61204.817,  -439.456,     0.922
 40800.000,111443.560,  -850.000,     0.152
 40800.000, 96699.581,  -861.565,     0.702
 40800.000, 90146.702,  -731.463,     0.508
 40800.000, 67757.696,  -398.980,     0.977
 40800.000,112925.759,  -852.891,     0.192
 40800.000, 42950.366,  -297.789,     0.749
 40800.000, 67523.665,  -459.694,     0.827
 40800.000, 50439.372,  -349.830,     0.864
 40800.000, 78367.120,  -705.442,     0.937
 40800.000, 99429.948,  -864.456,     0.581
 40800.000, 91004.817,  -786.395,     0.541
 40800.000, 73062.408,  -638.946,     0.633
 40800.000, 94359.267,  -867.347,     0.228
 40800.000, 91472.880,  -795.068,     0.701
 40800.000, 72360.314,  -523.299,     0.814
 40800.000, 88586.492,  -731.463,     0.464
 40800.000, 70332.042,  -433.673,     0.673
 40800.000, 78523.141,  -589.796,     0.681
 40800.000, 94281.257,  -815.306,     0.737
 40800.000,112613.717,  -919.388,     0.840
 40800.000, 85622.094,  -751.701,     0.632
 40800.000, 80551.414,  -624.490,     0.949
 40800.000, 63701.152,  -523.299,     0.870
 40800.000, 71580.209,  -456.803,     0.729
 40800.000,100600.105,  -896.259,     0.577
 40800.000, 62374.974,  -410.544,     0.491
 40800.000, 72750.366,  -511.735,     0.887
 40800.000, 81175.497,  -693.878,     0.788
 40800.000, 73062.408,  -595.578,     0.525
 40800.000, 84685.969,  -673.639,     0.247
 40800.000, 48801.152,  -335.374,     0.716
 40800.000, 72750.366,  -491.497,     0.511
 40800.000, 68771.832,  -557.993,     0.975
 40800.000, 62374.974,  -433.673,     0.942
 40800.000, 79771.309,  -633.163,     0.754
 40800.000, 76884.921,  -607.143,     0.904
 40800.000, 54261.885,  -410.544,     0.507
 40800.000, 87182.304,  -751.701,     0.332
 40800.000, 85934.136,  -731.463,     0.644
 40800.000,105748.796,  -873.129,     0.823
 40800.000,106372.880,  -855.782,     0.506
 40800.000, 77743.037,  -575.340,     0.866
 40800.000, 74856.649,  -578.231,     0.597
 40800.000, 56992.251,  -479.932,     0.616
 40800.000,103018.429,  -850.000,     0.869
 40800.000, 64559.267,  -459.694,     0.910
 40800.000,109961.361,  -876.020,     0.477
 40800.000, 48801.152,  -332.483,     0.907
 40800.000, 96543.560,  -832.653,     0.732
 40800.000, 59722.618,  -497.279,     0.508
 40800.000, 96543.560,  -838.435,     0.778
 40800.000, 93267.120,  -789.286,     0.714
 40800.000, 72750.366,  -520.408,     0.472
 40800.000, 80863.455,  -656.293,     0.842
 40800.000, 40844.084,  -257.313,     0.369
 40800.000, 92487.016,  -815.306,     0.425
 40800.000, 82735.707,  -719.898,     0.869
 40800.000, 70332.042,  -488.605,     0.722
 40800.000, 63467.120,  -555.102,     0.968
 40800.000, 86480.209,  -771.939,     0.508
 40800.000, 82657.696,  -745.918,     0.689
 40800.000, 73764.503,  -638.946,     0.959
 40800.000, 77977.068,  -638.946,     0.372
 40800.000, 41390.157,  -271.769,     0.916
 40800.000, 95451.414,  -786.395,     0.666
 40800.000, 78679.162,  -679.422,     0.909
 40800.000, 65183.351,  -575.340,     0.951
 40800.000, 74778.639,  -656.293,     0.949
 40800.000, 77509.005,  -641.837,     0.839
 40800.000,108401.152,  -925.170,     0.334
 40800.000, 68225.759,  -404.762,     0.588
 40800.000, 69161.885,  -494.388,     0.928
 40800.000, 57304.293,  -410.544,     0.493
 40800.000, 61126.806,  -439.456,     0.906
 40800.000, 52077.592,  -323.810,     0.904
 40800.000, 93267.120,  -748.810,     0.424
 40800.000, 58630.471,  -384.524,     0.976
 40800.000, 99195.916,  -876.020,     0.906
 40800.000, 69941.990,  -595.578,     0.523
 40800.000, 72750.366,  -575.340,     0.743
 40800.000, 59254.555,  -381.633,     0.558
 40800.000, 79615.288,  -615.816,     0.473
 40800.000, 57850.366,  -352.721,     0.839
 40800.000, 64169.215,  -517.517,     0.890
 40800.000, 68927.853,  -572.449,     0.885
 40800.000, 68927.853,  -436.565,     0.678
 40800.000, 57694.346,  -479.932,     0.793
 40800.000, 73296.440,  -485.714,     0.663
 40800.000,107152.984,  -855.782,     0.555
 40800.000,102784.398,  -861.565,     0.868
 40800.000,104656.649,  -855.782,     0.512
 40800.000, 54729.948,  -404.762,     0.835
 40800.000, 96387.539,  -855.782,     0.644
 40800.000, 57538.325,  -451.020,     0.808
 40800.000,113939.895,  -942.517,     0.779
 40800.000, 61048.796,  -511.735,     0.637
 40800.000, 68147.749,  -552.211,     0.906
 40800.000, 95061.361,  -873.129,     0.527
 40800.000, 69473.927,  -578.231,     0.922
 40800.000, 97869.738,  -844.218,     0.941
 40800.000, 69317.906,  -396.088,     0.943
 40800.000, 67913.717,  -552.211,     0.953
 40800.000,112691.728,  -942.517,     0.140
 40800.000,104812.670,  -881.803,     0.591
 40800.000, 76728.901,  -676.531,     0.824
 40800.000, 95607.435,  -835.544,     0.498
