#X,Y,Z,attr 
 40800.000, 99195.916,  -902.041,     0.673
 40800.000, 92721.047,  -985.884,     0.729
 40800.000,104266.597, -1115.986,     0.485
 40800.000, 86402.199,  -968.537,     0.423
 40800.000, 88196.440, -1075.510,     0.629
 40800.000, 90848.796,  -971.429,     0.647
 40800.000,100288.063, -1113.095,     0.762
 40800.000,114641.990, -1052.381,     0.855
 40800.000,110975.497, -1035.034,     0.893
 40800.000, 98337.801,  -982.993,     0.740
 40800.000, 90380.733,  -965.646,     0.750
 40800.000,104890.681, -1063.946,     0.906
 40800.000, 77040.942,  -878.912,     0.856
 40800.000,100678.115,  -991.667,     0.565
 40800.000, 93813.194,  -942.517,     0.658
 40800.000, 90068.691, -1014.796,     0.860
 40800.000,111833.613, -1133.333,     0.941
 40800.000,102004.293, -1081.293,     0.744
 40800.000, 94359.267, -1142.007,     0.781
 40800.000, 90224.712, -1006.122,     0.494
 40800.000, 79459.267,  -942.517,     0.141
 40800.000, 50673.403,  -508.844,     0.922
 40800.000, 67289.634,  -659.184,     0.630
 40800.000,104734.660, -1121.769,     0.529
 40800.000, 68849.843,  -719.898,     0.979
 40800.000, 71658.220,  -763.265,     0.940
 40800.000, 61828.901,  -607.143,     0.834
 40800.000,109649.319, -1127.551,     0.894
 40800.000,107074.974, -1000.340,     0.874
 40800.000,110741.466, -1191.156,     0.785
 40800.000, 50127.330,  -503.061,     0.964
 40800.000,108323.141, -1011.905,     0.543
 40800.000, 97401.675, -1142.007,     0.836
 40800.000, 82423.665,  -994.558,     0.829
 40800.000, 52155.602,  -598.469,     0.831
 40800.000, 86168.168,  -858.673,     0.729
 40800.000, 65729.424,  -627.381,     0.851
 40800.000,106060.838,  -977.211,     0.495
 40800.000,108791.204, -1191.156,     0.859
 40800.000,101692.251, -1144.898,     0.723
 40800.000,100912.147,  -925.170,     0.799
 40800.000, 58474.450,  -607.143,     0.886
 40800.000, 98961.885, -1063.946,     0.578
 40800.000,110429.424,  -991.667,     0.582
 40800.000, 55744.084,  -575.340,     0.843
 40800.000,111833.613,  -980.102,     0.935
 40800.000, 95061.361, -1037.925,     0.623
 40800.000, 79459.267,  -850.000,     0.908
 40800.000, 91238.848,  -954.082,     0.918
 40800.000,102004.293,  -930.952,     0.827
 40800.000, 86636.230,  -818.197,     0.765
 40800.000, 59956.649,  -592.687,     0.902
 40800.000,102316.335,  -954.082,     0.858
 40800.000, 82735.707,  -959.864,     0.885
 40800.000, 78367.120,  -884.694,     0.886
 40800.000, 81331.518,  -803.741,     0.929
 40800.000, 84920.000,  -974.320,     0.929
 40800.000,112769.738, -1133.333,     0.799
 40800.000, 90302.723,  -884.694,     0.535
 40800.000, 98415.812, -1144.898,     0.658
 40800.000,108947.225, -1009.014,     0.781
 40800.000, 74700.628,  -754.592,     0.936
 40800.000, 71112.147,  -693.878,     0.656
 40800.000, 89600.628, -1035.034,     0.708
 40800.000,106216.859, -1144.898,     0.976
 40800.000, 89678.639,  -855.782,     0.623
 40800.000, 47162.932,  -578.231,     0.501
 40800.000,107387.016, -1069.728,     0.773
 40800.000, 74076.545,  -823.980,     0.836
 40800.000, 78211.099,  -823.980,     0.908
 40800.000,108479.162, -1014.796,     0.766
 40800.000, 51999.581,  -514.626,     0.635
 40800.000, 46928.901,  -557.993,     0.891
 40800.000,109961.361, -1124.660,     0.939
 40800.000, 86090.157, -1037.925,     0.894
 40800.000, 81019.476,  -821.088,     0.771
 40800.000, 80161.361,  -902.041,     0.750
 40800.000, 89210.576,  -982.993,     0.625
 40800.000, 49893.298,  -517.517,     0.849
 40800.000, 92643.037, -1066.837,     0.681
 40800.000, 90614.764, -1006.122,     0.573
 40800.000,101068.168, -1121.769,     0.545
 40800.000, 63701.152,  -699.660,     0.763
 40800.000, 60502.723,  -578.231,     0.502
 40800.000, 97089.634,  -890.476,     0.738
 40800.000,104266.597, -1066.837,     0.852
 40800.000, 59410.576,  -638.946,     0.579
 40800.000, 95763.455,  -884.694,     0.781
 40800.000, 79069.215,  -852.891,     0.516
 40800.000, 88118.429,  -951.190,     0.964
 40800.000,114017.906, -1179.592,     0.581
 40800.000, 96933.613, -1084.184,     0.500
 40800.000, 96621.571, -1136.224,     0.830
 40800.000, 95217.382,  -939.626,     0.457
 40800.000, 95919.476, -1063.946,     0.945
 40800.000,110117.382,  -991.667,     0.816
 40800.000, 52311.623,  -534.864,     0.900
 40800.000,111911.623, -1185.374,     0.824
 40800.000, 40922.094,  -393.197,     0.435
 40800.000, 50829.424,  -581.122,     0.885
 40800.000, 69473.927,  -679.422,     0.545
 40800.000, 47318.953,  -572.449,     0.602
 40800.000,113939.895, -1179.592,     0.621
 40800.000, 84998.010,  -980.102,     0.964
 40800.000, 59176.545,  -612.925,     0.879
 40800.000, 86948.272,  -936.735,     0.965
 40800.000, 76260.838,  -795.068,     0.692
 40800.000, 95529.424,  -991.667,     0.779
 40800.000, 63233.089,  -644.728,     0.774
 40800.000, 43418.429,  -422.109,     0.493
 40800.000, 84217.906,  -985.884,     0.934
 40800.000,108011.099, -1185.374,     0.817
 40800.000, 65027.330,  -624.490,     0.898
 40800.000, 50049.319,  -494.388,     0.809
 40800.000, 96621.571, -1124.660,     0.702
 40800.000, 74778.639,  -826.871,     0.928
 40800.000, 50049.319,  -546.429,     0.836
 40800.000, 61360.838,  -656.293,     0.820
 40800.000,107621.047, -1095.748,     0.957
 40800.000, 93345.131,  -884.694,     0.929
 40800.000,113939.895, -1142.007,     0.721
 40800.000, 76572.880,  -763.265,     0.565
 40800.000, 97011.623, -1098.639,     0.715
 40800.000, 45602.723,  -526.190,     0.821
 40800.000, 41858.220,  -459.694,     0.820
 40800.000, 58396.440,  -653.401,     0.600
 40800.000, 57928.377,  -641.837,     0.898
 40800.000, 47630.995,  -514.626,     0.366
 40800.000, 88430.471, -1046.599,     0.606
 40800.000, 91238.848, -1118.878,     0.977
 40800.000, 54729.948,  -549.320,     0.919
 40800.000,108167.120,  -997.449,     0.750
 40800.000, 73452.461,  -792.177,     0.795
 40800.000, 84607.958,  -861.565,     0.533
 40800.000, 42014.241,  -474.150,     0.843
 40800.000, 84373.927,  -881.803,     0.855
 40800.000,105202.723, -1095.748,     0.682
 40800.000, 76650.890,  -847.109,     0.948
 40800.000, 60502.723,  -575.340,     0.055
 40800.000,108791.204, -1217.177,     0.490
 40800.000, 63935.183,  -598.469,     0.008
 40800.000,100054.031, -1084.184,     0.925
 40800.000, 63077.068,  -702.551,     0.379
 40800.000,102082.304, -1081.293,     0.720
 40800.000,110039.372, -1003.231,     0.462
 40800.000,110195.393, -1011.905,     0.900
 40800.000, 81019.476,  -835.544,     0.748
 40800.000, 40766.073,  -398.980,     0.938
 40800.000,102004.293, -1144.898,     0.875
 40800.000, 99117.906, -1006.122,     0.979
 40800.000, 64325.236,  -615.816,     0.941
 40800.000, 89834.660, -1072.619,     0.810
 40800.000, 40844.084,  -401.871,     0.908
 40800.000, 57772.356,  -557.993,     0.902
 40800.000, 84920.000,  -815.306,     0.825
 40800.000, 77977.068,  -823.980,     0.949
 40800.000,102940.419, -1124.660,     0.896
 40800.000, 49659.267,  -592.687,     0.507
 40800.000,113393.822, -1011.905,     0.408
 40800.000, 99898.010,  -971.429,     0.624
 40800.000, 74466.597,  -850.000,     0.765
 40800.000, 99039.895, -1020.578,     0.960
 40800.000, 79927.330,  -867.347,     0.959
 40800.000, 56446.178,  -537.755,     0.485
 40800.000, 64091.204,  -705.442,     0.637
 40800.000, 45134.660,  -500.170,     0.794
 40800.000, 52467.644,  -505.952,     0.894
 40800.000, 42482.304,  -413.435,     0.573
 40800.000, 44744.607,  -491.497,     0.685
 40800.000, 79147.225,  -925.170,     0.906
 40800.000, 70410.052,  -719.898,     0.766
 40800.000, 76338.848,  -743.027,     0.698
 40800.000, 79771.309,  -902.041,     0.963
 40800.000, 88352.461, -1003.231,     0.978
 40800.000, 92721.047,  -922.279,     0.792
 40800.000, 46616.859,  -474.150,     0.677
 40800.000, 89678.639, -1032.143,     0.924
 40800.000,106138.848,  -928.061,     0.302
 40800.000,106684.921, -1165.136,     0.748
 40800.000, 77899.058,  -783.503,     0.938
 40800.000, 82813.717,  -821.088,     0.592
 40800.000, 55432.042,  -618.707,     0.848
 40800.000, 95061.361, -1142.007,     0.922
 40800.000,113159.791, -1037.925,     0.961
 40800.000, 88664.503,  -988.776,     0.595
 40800.000, 85700.105,  -893.367,     0.557
 40800.000, 93111.099, -1069.728,     0.859
 40800.000, 77821.047,  -829.762,     0.903
 40800.000, 72672.356,  -795.068,     0.872
 40800.000, 97557.696,  -951.190,     0.647
 40800.000, 80785.445,  -815.306,     0.851
 40800.000, 95139.372,  -968.537,     0.553
 40800.000,111755.602, -1165.136,     0.929
 40800.000, 93501.152, -1066.837,     0.867
 40800.000,111209.529, -1055.272,     0.705
 40800.000, 96231.518, -1130.442,     0.797
 40800.000, 76650.890,  -890.476,     0.711
 40800.000, 81799.581,  -826.871,     0.706
 40800.000,110975.497, -1081.293,     0.907
 40800.000, 98181.780,  -942.517,     0.630
 40800.000, 72750.366,  -711.224,     0.897
 40800.000, 87884.398,  -962.755,     0.631
 40800.000,106528.901, -1136.224,     0.969
 40800.000, 42404.293,  -422.109,     0.815
 40800.000, 89288.586, -1081.293,     0.969
 40800.000, 93657.173,  -899.150,     0.859
 40800.000, 71658.220,  -702.551,     0.774
 40800.000,106138.848,  -933.844,     0.644
 40800.000, 99820.000, -1066.837,     0.847
 40800.000,107152.984, -1153.571,     0.875
 40800.000, 83983.874,  -936.735,     0.640
 40800.000, 95685.445, -1127.551,     0.725
 40800.000, 77587.016,  -861.565,     0.805
 40800.000, 55120.000,  -569.558,     0.541
 40800.000,101770.262, -1101.531,     0.699
 40800.000, 90458.743, -1000.340,     0.646
 40800.000, 84295.916, -1026.361,     0.978
 40800.000, 88196.440, -1000.340,     0.938
 40800.000,114720.000,  -968.537,     0.914
 40800.000, 81409.529,  -893.367,     0.921
 40800.000, 69863.979,  -667.857,     0.805
 40800.000,107465.026,  -928.061,     0.400
 40800.000,113003.770,  -951.190,     0.334
 40800.000, 88898.534,  -930.952,     0.874
 40800.000,113705.864,  -948.299,     0.187
 40800.000,100288.063,  -954.082,     0.550
 40800.000, 65729.424,  -653.401,     0.724
 40800.000, 46538.848,  -482.823,     0.890
 40800.000, 42950.366,  -451.020,     0.843
 40800.000, 91394.869,  -956.973,     0.979
 40800.000, 96075.497, -1118.878,     0.487
 40800.000, 82813.717,  -795.068,     0.725
 40800.000,111911.623, -1037.925,     0.888
 40800.000,114329.948,  -974.320,     0.769
 40800.000,114251.937, -1153.571,     0.830
 40800.000,105592.775,  -939.626,     0.851
 40800.000, 67601.675,  -673.639,     0.753
 40800.000, 51453.508,  -497.279,     0.694
 40800.000, 90458.743,  -951.190,     0.929
 40800.000, 78367.120,  -766.156,     0.800
 40800.000, 55978.115,  -543.537,     0.968
 40800.000, 88040.419,  -954.082,     0.928
 40800.000,101692.251,  -916.497,     0.452
 40800.000,106996.963, -1113.095,     0.655
 40800.000, 58552.461,  -633.163,     0.705
 40800.000, 92409.005, -1006.122,     0.945
 40800.000,106294.869, -1113.095,     0.859
 40800.000, 57148.272,  -647.619,     0.485
 40800.000, 96543.560,  -951.190,     0.918
 40800.000, 84607.958,  -864.456,     0.480
 40800.000, 84998.010, -1006.122,     0.887
 40800.000, 83047.749,  -959.864,     0.813
 40800.000, 82033.613,  -821.088,     0.902
 40800.000,101614.241, -1020.578,     0.961
 40800.000, 83047.749,  -974.320,     0.619
 40800.000, 87806.387, -1052.381,     0.970
 40800.000, 83983.874,  -902.041,     0.824
 40800.000, 81253.508,  -818.197,     0.650
 40800.000, 49269.215,  -543.537,     0.730
 40800.000, 92721.047,  -916.497,     0.875
 40800.000, 94359.267,  -997.449,     0.960
 40800.000, 84685.969, -1011.905,     0.949
 40800.000, 75012.670,  -725.680,     0.064
 40800.000, 86012.147,  -959.864,     0.550
 40800.000, 86012.147,  -881.803,     0.548
 40800.000, 47552.984,  -523.299,     0.616
 40800.000, 50595.393,  -503.061,     0.864
 40800.000,102862.408, -1162.245,     0.863
 40800.000, 93267.120,  -991.667,     0.906
 40800.000,102940.419, -1029.252,     0.856
 40800.000, 70722.094,  -751.701,     0.957
 40800.000,103642.513,  -974.320,     0.680
 40800.000, 86636.230,  -867.347,     0.940
 40800.000, 88742.513, -1066.837,     0.851
 40800.000, 47630.995,  -586.905,     0.114
