#X,Y,Z,attr 
 40724.224, 60500.000,  -202.381,     0.863
 19178.882, 60500.000,  -193.707,     0.800
 40883.230, 60500.000,  -251.531,     0.820
 45414.907, 60500.000,  -121.429,     0.396
 50026.087, 60500.000,  -248.639,     0.448
 51298.137, 60500.000,  -121.429,     0.495
 54955.280, 60500.000,  -124.320,     0.668
 37385.093, 60500.000,  -130.102,     0.605
 31024.845, 60500.000,  -130.102,     0.543
 50423.602, 60500.000,  -161.905,     0.142
 39929.193, 60500.000,  -225.510,     0.850
 58771.429, 60500.000,  -280.442,     0.189
 22200.000, 60500.000,  -187.925,     0.676
 42075.776, 60500.000,  -205.272,     0.879
 17191.304, 60500.000,  -185.034,     0.447
 42870.807, 60500.000,  -216.837,     0.875
 49708.075, 60500.000,  -170.578,     0.440
 49469.565, 60500.000,  -254.422,     0.493
 57658.385, 60500.000,  -176.361,     0.290
 59089.441, 60500.000,  -144.558,     0.373
 31501.863, 60500.000,  -141.667,     0.641
 43268.323, 60500.000,  -138.776,     0.718
 60600.000, 60500.000,  -222.619,     0.937
 43665.839, 60500.000,  -164.796,     0.340
 46527.950, 60500.000,  -263.095,     0.508
 25300.621, 60500.000,  -234.184,     0.715
 40485.714, 60500.000,  -153.231,     0.924
 42791.304, 60500.000,  -234.184,     0.694
 21404.969, 60500.000,  -147.449,     0.828
 21802.484, 60500.000,  -135.884,     0.202
 29593.789, 60500.000,  -127.211,     0.317
 29434.783, 60500.000,  -202.381,     0.310
 39054.658, 60500.000,  -208.163,     0.788
 56147.826, 60500.000,  -242.857,     0.981
 47004.969, 60500.000,  -170.578,     0.333
 44301.863, 60500.000,  -231.293,     0.777
 41996.273, 60500.000,  -263.095,     0.467
 25698.137, 60500.000,  -199.490,     0.445
 39372.671, 60500.000,  -205.272,     0.941
 33012.422, 60500.000,  -144.558,     0.563
 57181.366, 60500.000,  -242.857,     0.689
 11705.590, 60500.000,  -153.231,     0.329
 34840.994, 60500.000,  -167.687,     0.553
 41598.758, 60500.000,  -176.361,     0.192
 20053.416, 60500.000,  -138.776,     0.417
 48595.031, 60500.000,  -173.469,     0.269
 53206.211, 60500.000,  -274.660,     0.718
 39213.665, 60500.000,  -202.381,     0.937
 36431.056, 60500.000,  -130.102,     0.455
 31581.366, 60500.000,  -161.905,     0.814
 49469.565, 60500.000,  -263.095,     0.598
 58135.404, 60500.000,  -234.184,     0.853
 59566.460, 60500.000,  -248.639,     0.601
 41519.255, 60500.000,  -124.320,     0.949
 36351.553, 60500.000,  -216.837,     0.833
 28639.752, 60500.000,  -234.184,     0.891
 33091.925, 60500.000,  -127.211,     0.306
 45176.398, 60500.000,  -190.816,     0.848
 31263.354, 60500.000,  -213.946,     0.721
 23869.565, 60500.000,  -211.054,     0.672
 58135.404, 60500.000,  -231.293,     0.932
 54875.776, 60500.000,  -153.231,     0.431
 37305.590, 60500.000,  -161.905,     0.886
 58771.429, 60500.000,  -248.639,     0.645
 53047.205, 60500.000,  -115.646,     0.327
 50980.124, 60500.000,  -211.054,     0.694
 22756.522, 60500.000,  -187.925,     0.611
 23551.553, 60500.000,  -205.272,     0.494
 15680.745, 60500.000,  -190.816,     0.655
 41757.764, 60500.000,  -245.748,     0.950
 27685.714, 60500.000,  -225.510,     0.949
 45017.391, 60500.000,  -164.796,     0.328
 26890.683, 60500.000,  -222.619,     0.902
 49072.050, 60500.000,  -132.993,     0.664
 53603.727, 60500.000,  -182.143,     0.243
 30468.323, 60500.000,  -216.837,     0.893
 42791.304, 60500.000,  -225.510,     0.613
 31899.379, 60500.000,  -219.728,     0.785
 30945.342, 60500.000,  -196.599,     0.292
 28003.727, 60500.000,  -196.599,     0.370
 44619.876, 60500.000,  -135.884,     0.947
 42552.795, 60500.000,  -222.619,     0.824
 35954.037, 60500.000,  -196.599,     0.396
 43268.323, 60500.000,  -228.401,     0.550
 46527.950, 60500.000,  -182.143,     0.636
 51377.640, 60500.000,  -121.429,     0.554
 60361.491, 60500.000,  -193.707,     0.849
 49946.584, 60500.000,  -222.619,     0.436
 30547.826, 60500.000,  -130.102,     0.546
 58135.404, 60500.000,  -242.857,     0.749
 48913.043, 60500.000,  -202.381,     0.783
 45255.901, 60500.000,  -170.578,     0.523
 35477.019, 60500.000,  -254.422,     0.835
 40406.211, 60500.000,  -248.639,     0.611
 38100.621, 60500.000,  -231.293,     0.631
 44778.882, 60500.000,  -242.857,     0.483
 49787.578, 60500.000,  -222.619,     0.506
 53285.714, 60500.000,  -211.054,     0.540
