#X,Y,Z,attr 
 28162.733, 60500.000,  -676.531,     0.838
 26254.658, 60500.000,  -618.707,     0.950
 14090.683, 60500.000,  -621.599,     0.658
 43268.323, 60500.000,  -688.095,     0.648
 35954.037, 60500.000,  -644.728,     0.852
 55511.801, 60500.000,  -705.442,     0.838
 46130.435, 60500.000,  -725.680,     0.896
 20132.919, 60500.000,  -607.143,     0.605
 24744.099, 60500.000,  -653.401,     0.523
 31104.348, 60500.000,  -690.986,     0.425
 27765.217, 60500.000,  -612.925,     0.736
 10274.534, 60500.000,  -572.449,     0.857
 16873.292, 60500.000,  -569.558,     0.942
 14249.689, 60500.000,  -633.163,     0.954
 20927.950, 60500.000,  -662.075,     0.605
 15044.720, 60500.000,  -569.558,     0.914
 16157.764, 60500.000,  -607.143,     0.784
 39372.671, 60500.000,  -708.333,     0.931
 16714.286, 60500.000,  -584.014,     0.898
 40167.702, 60500.000,  -722.789,     0.811
 40008.696, 60500.000,  -722.789,     0.697
 15124.224, 60500.000,  -615.816,     0.719
 59168.944, 60500.000,  -774.830,     0.942
 26334.161, 60500.000,  -633.163,     0.822
 48595.031, 60500.000,  -699.660,     0.898
 18463.354, 60500.000,  -656.293,     0.920
 15362.733, 60500.000,  -563.776,     0.845
 21166.460, 60500.000,  -604.252,     0.929
 16396.273, 60500.000,  -653.401,     0.837
 56624.845, 60500.000,  -771.939,     0.493
 41360.248, 60500.000,  -693.878,     0.522
 29037.267, 60500.000,  -647.619,     0.927
 56704.348, 60500.000,  -780.612,     0.635
 23392.547, 60500.000,  -610.034,     0.922
 22279.503, 60500.000,  -578.231,     0.514
 55432.298, 60500.000,  -714.116,     0.722
 29116.770, 60500.000,  -659.184,     0.910
 29275.776, 60500.000,  -595.578,     0.706
 10354.037, 60500.000,  -592.687,     0.816
  9479.503, 60500.000,  -537.755,     0.914
 14090.683, 60500.000,  -641.837,     0.922
 15760.248, 60500.000,  -618.707,     0.728
 37385.093, 60500.000,  -656.293,     0.836
 13693.168, 60500.000,  -627.381,     0.690
 12659.627, 60500.000,  -566.667,     0.964
 17986.335, 60500.000,  -647.619,     0.658
 19496.894, 60500.000,  -627.381,     0.549
 31263.354, 60500.000,  -624.490,     0.875
 11149.068, 60500.000,  -557.993,     0.715
  9877.019, 60500.000,  -621.599,     0.898
 31183.851, 60500.000,  -621.599,     0.898
  9718.012, 60500.000,  -598.469,     0.843
 49390.062, 60500.000,  -731.463,     0.792
 54716.770, 60500.000,  -708.333,     0.824
 53603.727, 60500.000,  -769.048,     0.406
 32535.404, 60500.000,  -607.143,     0.628
 19894.410, 60500.000,  -673.639,     0.918
 56068.323, 60500.000,  -702.551,     0.914
 17111.801, 60500.000,  -592.687,     0.807
 49787.578, 60500.000,  -748.810,     0.290
 52888.199, 60500.000,  -719.898,     0.846
 21007.453, 60500.000,  -644.728,     0.925
 46448.447, 60500.000,  -714.116,     0.522
 42632.298, 60500.000,  -690.986,     0.924
 18542.857, 60500.000,  -586.905,     0.839
 13136.646, 60500.000,  -604.252,     0.687
 45573.913, 60500.000,  -696.769,     0.861
 22040.994, 60500.000,  -630.272,     0.786
 56147.826, 60500.000,  -780.612,     0.662
 22915.528, 60500.000,  -621.599,     0.699
 34125.466, 60500.000,  -690.986,     0.823
 41598.758, 60500.000,  -722.789,     0.660
 32694.410, 60500.000,  -650.510,     0.970
 60600.000, 60500.000,  -797.959,     0.795
 13613.665, 60500.000,  -575.340,     0.863
 32614.907, 60500.000,  -604.252,     0.110
 40644.720, 60500.000,  -717.007,     0.770
 31740.373, 60500.000,  -610.034,     0.498
 20609.938, 60500.000,  -612.925,     0.918
 38736.646, 60500.000,  -714.116,     0.868
 39134.161, 60500.000,  -722.789,     0.326
