#X,Y,Z,attr 
  9718.012, 60500.000,   -49.150,     0.831
 32614.907, 60500.000,  -121.429,     0.683
 40803.727, 60500.000,   -60.714,     0.886
 45732.919, 60500.000,  -101.190,     0.971
 54160.248, 60500.000,   -86.735,     0.536
 26413.665, 60500.000,   -49.150,     0.971
 30070.807, 60500.000,   -78.061,     0.635
 45017.391, 60500.000,  -106.973,     0.884
 27129.193, 60500.000,   -34.694,     0.290
 31024.845, 60500.000,  -101.190,     0.678
 13772.671, 60500.000,   -80.952,     0.800
 42234.783, 60500.000,  -101.190,     0.918
 31501.863, 60500.000,   -69.388,     0.833
 54478.261, 60500.000,   -75.170,     0.695
 56624.845, 60500.000,   -72.279,     0.753
 31024.845, 60500.000,   -52.041,     0.969
 40406.211, 60500.000,   -28.912,     0.271
 60281.988, 60500.000,  -112.755,     0.855
 11785.093, 60500.000,  -124.320,     0.867
 39929.193, 60500.000,  -104.082,     0.894
 57419.876, 60500.000,   -69.388,     0.838
 25618.634, 60500.000,   -49.150,     0.980
 37385.093, 60500.000,   -66.497,     0.847
 31104.348, 60500.000,   -37.585,     0.918
 29514.286, 60500.000,   -60.714,     0.987
 33091.925, 60500.000,   -92.517,     0.623
 35000.000, 60500.000,   -57.823,     0.968
 58850.932, 60500.000,   -72.279,     0.763
 38418.634, 60500.000,  -112.755,     0.949
 17350.311, 60500.000,   -66.497,     0.843
 42791.304, 60500.000,   -60.714,     0.902
 31501.863, 60500.000,  -124.320,     0.623
 18701.863, 60500.000,   -43.367,     0.886
 29673.292, 60500.000,  -127.211,     0.463
 45335.404, 60500.000,   -95.408,     0.945
  9638.509, 60500.000,  -141.667,     0.407
 17509.317, 60500.000,   -37.585,     0.894
 36908.075, 60500.000,   -40.476,     0.953
 23631.056, 60500.000,   -40.476,     0.914
 37146.584, 60500.000,  -124.320,     0.378
 12262.112, 60500.000,  -118.537,     0.785
 14567.702, 60500.000,   -37.585,     0.875
 50821.118, 60500.000,   -92.517,     0.797
 17827.329, 60500.000,  -115.646,     0.809
 59168.944, 60500.000,   -40.476,     0.961
 26731.677, 60500.000,  -115.646,     0.799
 45573.913, 60500.000,   -69.388,     0.654
 54955.280, 60500.000,   -69.388,     0.827
 35000.000, 60500.000,   -86.735,     0.545
 52729.193, 60500.000,   -83.844,     0.666
 41519.255, 60500.000,   -86.735,     0.591
 21563.975, 60500.000,   -95.408,     0.762
 14885.714, 60500.000,   -86.735,     0.806
 34761.491, 60500.000,  -124.320,     0.544
 11626.087, 60500.000,   -40.476,     0.878
 26970.186, 60500.000,   -83.844,     0.642
 42393.789, 60500.000,   -49.150,     0.957
 41678.261, 60500.000,   -46.259,     0.933
 17588.820, 60500.000,  -132.993,     0.567
 19496.894, 60500.000,  -106.973,     0.730
 53921.739, 60500.000,   -98.299,     0.687
 33012.422, 60500.000,  -124.320,     0.718
 17191.304, 60500.000,   -69.388,     0.851
 57260.870, 60500.000,   -52.041,     0.871
 30786.335, 60500.000,   -78.061,     0.730
 52967.702, 60500.000,   -52.041,     0.922
 58771.429, 60500.000,   -49.150,     0.878
 58771.429, 60500.000,   -92.517,     0.705
 43824.845, 60500.000,   -54.932,     0.914
 34204.969, 60500.000,   -92.517,     0.600
 55750.311, 60500.000,   -31.803,     0.278
 54001.242, 60500.000,  -115.646,     0.970
 33091.925, 60500.000,  -121.429,     0.768
 27049.689, 60500.000,   -49.150,     0.975
 32296.894, 60500.000,  -115.646,     0.968
 53365.217, 60500.000,   -40.476,     0.953
 59804.969, 60500.000,   -40.476,     0.925
 60043.478, 60500.000,   -60.714,     0.782
 23392.547, 60500.000,  -124.320,     0.782
 31740.373, 60500.000,   -34.694,     0.902
 35477.019, 60500.000,  -104.082,     0.600
 43586.335, 60500.000,   -31.803,     0.871
 18542.857, 60500.000,  -104.082,     0.819
 26731.677, 60500.000,   -63.605,     0.945
 48913.043, 60500.000,   -43.367,     0.989
 12103.106, 60500.000,  -118.537,     0.816
 30150.311, 60500.000,   -49.150,     0.961
 54001.242, 60500.000,   -66.497,     0.819
 12262.112, 60500.000,   -57.823,     0.781
 60043.478, 60500.000,   -37.585,     0.922
 38736.646, 60500.000,   -66.497,     0.812
 18463.354, 60500.000,   -98.299,     0.871
 41996.273, 60500.000,   -75.170,     0.637
 31978.882, 60500.000,   -92.517,     0.619
 14647.205, 60500.000,  -135.884,     0.312
 44858.385, 60500.000,  -109.864,     0.912
 45414.907, 60500.000,   -98.299,     0.970
 33171.429, 60500.000,   -52.041,     0.970
 57896.894, 60500.000,   -72.279,     0.760
 43745.342, 60500.000,   -37.585,     0.906
 19655.901, 60500.000,   -98.299,     0.859
 34681.988, 60500.000,   -52.041,     0.996
 33807.453, 60500.000,   -86.735,     0.520
 57658.385, 60500.000,   -37.585,     0.933
 33966.460, 60500.000,   -78.061,     0.614
 37941.615, 60500.000,  -106.973,     0.829
 32217.391, 60500.000,   -69.388,     0.803
 12103.106, 60500.000,  -124.320,     0.890
  9638.509, 60500.000,   -72.279,     0.847
 55829.814, 60500.000,   -54.932,     0.812
 30070.807, 60500.000,   -95.408,     0.633
 54001.242, 60500.000,   -34.694,     0.894
 46845.963, 60500.000,   -95.408,     0.839
 37941.615, 60500.000,   -80.952,     0.572
 40803.727, 60500.000,  -104.082,     0.929
 29196.273, 60500.000,  -101.190,     0.552
 25062.112, 60500.000,   -75.170,     0.774
 52570.186, 60500.000,   -80.952,     0.607
 50264.596, 60500.000,   -98.299,     0.949
 17668.323, 60500.000,  -135.884,     0.261
 34920.497, 60500.000,   -60.714,     0.986
 10354.037, 60500.000,  -101.190,     0.867
 45971.429, 60500.000,   -40.476,     0.918
 44301.863, 60500.000,   -31.803,     0.871
 51695.652, 60500.000,   -89.626,     0.775
 57022.360, 60500.000,   -49.150,     0.902
 30706.832, 60500.000,   -37.585,     0.886
 57101.863, 60500.000,   -92.517,     0.707
 20291.925, 60500.000,   -95.408,     0.805
 28560.248, 60500.000,   -63.605,     0.978
 15839.752, 60500.000,   -63.605,     0.851
 43586.335, 60500.000,   -75.170,     0.553
 26811.180, 60500.000,   -72.279,     0.750
 34125.466, 60500.000,   -89.626,     0.610
 57578.882, 60500.000,  -109.864,     0.851
 31581.366, 60500.000,   -75.170,     0.666
 29593.789, 60500.000,  -101.190,     0.606
 34761.491, 60500.000,   -54.932,     0.994
 59804.969, 60500.000,   -66.497,     0.751
 54716.770, 60500.000,   -83.844,     0.690
 39929.193, 60500.000,  -106.973,     0.954
 10751.553, 60500.000,   -69.388,     0.875
 21007.453, 60500.000,   -46.259,     0.929
 49469.565, 60500.000,  -101.190,     0.914
 22279.503, 60500.000,  -104.082,     0.722
 26413.665, 60500.000,  -127.211,     0.338
 46209.938, 60500.000,   -52.041,     0.855
 39134.161, 60500.000,   -34.694,     0.898
 34443.478, 60500.000,   -46.259,     0.973
 16396.273, 60500.000,   -60.714,     0.839
 16952.795, 60500.000,   -72.279,     0.878
 25300.621, 60500.000,   -83.844,     0.683
 42950.311, 60500.000,   -37.585,     0.922
 51377.640, 60500.000,   -80.952,     0.637
 56147.826, 60500.000,   -34.694,     0.882
 58453.416, 60500.000,   -37.585,     0.937
 35715.528, 60500.000,   -72.279,     0.782
 58612.422, 60500.000,   -78.061,     0.770
