#X,Y,Z,attr 
 19337.888, 60500.000,  -471.259,     0.930
 51616.149, 60500.000,  -604.252,     0.475
 39690.683, 60500.000,  -427.891,     0.866
 42234.783, 60500.000,  -462.585,     0.899
 59963.975, 60500.000,  -462.585,     0.593
 12977.640, 60500.000,  -315.136,     0.344
 59248.447, 60500.000,  -563.776,     0.871
 18145.342, 60500.000,  -410.544,     0.886
 20609.938, 60500.000,  -364.286,     0.955
 13216.149, 60500.000,  -448.129,     0.835
 19417.391, 60500.000,  -413.435,     0.847
 55034.783, 60500.000,  -549.320,     0.812
 44142.857, 60500.000,  -534.864,     0.462
 23472.050, 60500.000,  -494.388,     0.875
 31819.876, 60500.000,  -378.741,     0.746
 25698.137, 60500.000,  -448.129,     0.827
 49310.559, 60500.000,  -549.320,     0.808
 33409.938, 60500.000,  -479.932,     0.631
 40883.230, 60500.000,  -543.537,     0.956
 46607.453, 60500.000,  -439.456,     0.890
 29196.273, 60500.000,  -439.456,     0.435
 41837.267, 60500.000,  -557.993,     0.709
 38180.124, 60500.000,  -540.646,     0.677
 48118.012, 60500.000,  -474.150,     0.526
 44063.354, 60500.000,  -401.871,     0.881
  9797.516, 60500.000,  -349.830,     0.890
 29752.795, 60500.000,  -393.197,     0.957
 31024.845, 60500.000,  -372.959,     0.895
 41519.255, 60500.000,  -520.408,     0.929
 18224.845, 60500.000,  -416.327,     0.902
 30309.317, 60500.000,  -468.367,     0.501
 14647.205, 60500.000,  -372.959,     0.656
 28639.752, 60500.000,  -390.306,     0.537
 15203.727, 60500.000,  -430.782,     0.481
 19973.913, 60500.000,  -390.306,     0.818
 21007.453, 60500.000,  -465.476,     0.816
 45812.422, 60500.000,  -387.415,     0.654
 28639.752, 60500.000,  -352.721,     0.137
 51775.155, 60500.000,  -526.190,     0.543
 29434.783, 60500.000,  -378.741,     0.570
 49708.075, 60500.000,  -549.320,     0.890
 39611.180, 60500.000,  -471.259,     0.684
 32137.888, 60500.000,  -500.170,     0.505
 23154.037, 60500.000,  -404.762,     0.751
 25936.646, 60500.000,  -537.755,     0.926
 51934.161, 60500.000,  -448.129,     0.792
 29037.267, 60500.000,  -387.415,     0.528
 42075.776, 60500.000,  -537.755,     0.449
 42711.801, 60500.000,  -523.299,     0.866
 44937.888, 60500.000,  -572.449,     0.899
 11864.596, 60500.000,  -349.830,     0.898
 23074.534, 60500.000,  -341.156,     0.418
 45335.404, 60500.000,  -459.694,     0.975
 26095.652, 60500.000,  -517.517,     0.822
 52729.193, 60500.000,  -624.490,     0.405
 52331.677, 60500.000,  -529.082,     0.865
 54875.776, 60500.000,  -563.776,     0.426
 56545.342, 60500.000,  -607.143,     0.404
 49231.056, 60500.000,  -555.102,     0.642
 53206.211, 60500.000,  -505.952,     0.533
 60281.988, 60500.000,  -520.408,     0.944
 19814.907, 60500.000,  -341.156,     0.354
 33648.447, 60500.000,  -500.170,     0.948
 52649.689, 60500.000,  -477.041,     0.591
 46209.938, 60500.000,  -462.585,     0.874
 57896.894, 60500.000,  -485.714,     0.910
 48754.037, 60500.000,  -610.034,     0.450
 58691.925, 60500.000,  -601.361,     0.808
 37385.093, 60500.000,  -387.415,     0.893
 12103.106, 60500.000,  -433.673,     0.607
 55909.317, 60500.000,  -503.061,     0.511
 36987.578, 60500.000,  -413.435,     0.966
 54398.758, 60500.000,  -445.238,     0.392
 10831.056, 60500.000,  -425.000,     0.609
 11069.565, 60500.000,  -471.259,     0.894
 33171.429, 60500.000,  -393.197,     0.518
 55829.814, 60500.000,  -555.102,     0.427
 30388.820, 60500.000,  -370.068,     0.823
 35795.031, 60500.000,  -546.429,     0.475
 48356.522, 60500.000,  -503.061,     0.954
 59168.944, 60500.000,  -534.864,     0.894
 43506.832, 60500.000,  -520.408,     0.911
 29434.783, 60500.000,  -520.408,     0.925
 14647.205, 60500.000,  -396.088,     0.496
 58135.404, 60500.000,  -531.973,     0.949
 22677.019, 60500.000,  -453.912,     0.547
  9718.012, 60500.000,  -318.027,     0.772
 51934.161, 60500.000,  -581.122,     0.795
 29434.783, 60500.000,  -398.980,     0.954
 45335.404, 60500.000,  -396.088,     0.626
 50105.590, 60500.000,  -529.082,     0.890
 59884.472, 60500.000,  -615.816,     0.927
 57022.360, 60500.000,  -503.061,     0.554
 35795.031, 60500.000,  -448.129,     0.865
 20609.938, 60500.000,  -497.279,     0.902
 56624.845, 60500.000,  -459.694,     0.817
 19417.391, 60500.000,  -491.497,     0.839
 52490.683, 60500.000,  -560.884,     0.843
 34920.497, 60500.000,  -546.429,     0.743
 53365.217, 60500.000,  -546.429,     0.739
