#X,Y,Z,attr 
 33966.460, 60500.000,  -624.490,     0.514
 25062.112, 60500.000,  -679.422,     0.642
 25459.627, 60500.000,  -638.946,     0.729
 12262.112, 60500.000,  -636.054,     0.879
 30547.826, 60500.000,  -607.143,     0.501
 30865.839, 60500.000,  -618.707,     0.701
 25857.143, 60500.000,  -673.639,     0.586
 42393.789, 60500.000,  -719.898,     0.847
 20371.429, 60500.000,  -621.599,     0.642
 20132.919, 60500.000,  -636.054,     0.912
 50185.093, 60500.000,  -737.245,     0.954
 38418.634, 60500.000,  -650.510,     0.212
 55670.807, 60500.000,  -693.878,     0.859
 28798.758, 60500.000,  -586.905,     0.809
 35636.025, 60500.000,  -659.184,     0.824
 10433.540, 60500.000,  -592.687,     0.794
 11228.571, 60500.000,  -595.578,     0.850
 55909.317, 60500.000,  -748.810,     0.929
 27606.211, 60500.000,  -615.816,     0.937
 26652.174, 60500.000,  -604.252,     0.842
 22836.025, 60500.000,  -612.925,     0.794
 35954.037, 60500.000,  -644.728,     0.852
 34920.497, 60500.000,  -667.857,     0.707
 11308.075, 60500.000,  -630.272,     0.715
 15760.248, 60500.000,  -612.925,     0.498
 29752.795, 60500.000,  -595.578,     0.697
 54478.261, 60500.000,  -751.701,     0.839
 47322.981, 60500.000,  -728.571,     0.931
 54557.764, 60500.000,  -705.442,     0.814
 25459.627, 60500.000,  -673.639,     0.891
 28162.733, 60500.000,  -607.143,     0.685
 35397.516, 60500.000,  -644.728,     0.929
 15601.242, 60500.000,  -604.252,     0.543
 22279.503, 60500.000,  -644.728,     0.917
 53921.739, 60500.000,  -702.551,     0.902
 38975.155, 60500.000,  -685.204,     0.620
 40565.217, 60500.000,  -682.313,     0.897
 48992.547, 60500.000,  -743.027,     0.707
 53444.720, 60500.000,  -690.986,     0.922
 56306.832, 60500.000,  -696.769,     0.794
 29752.795, 60500.000,  -647.619,     0.913
 39452.174, 60500.000,  -673.639,     0.843
 43188.820, 60500.000,  -708.333,     0.754
 33568.944, 60500.000,  -636.054,     0.804
 16634.783, 60500.000,  -636.054,     0.888
 26175.155, 60500.000,  -633.163,     0.774
 51934.161, 60500.000,  -717.007,     0.708
 24585.093, 60500.000,  -586.905,     0.844
 12580.124, 60500.000,  -624.490,     0.925
 58850.932, 60500.000,  -771.939,     0.839
  9479.503, 60500.000,  -575.340,     0.770
