X,Y,Z,formation
46500,2500,-64.6,SeaFloor
24500,4500,-61.9,SeaFloor
2500,6500,-62,SeaFloor
48500,8000,-65.8,SeaFloor
26500,10000,-63.4,SeaFloor
4500,12000,-57.5,SeaFloor
50500,13500,-59.7,SeaFloor
28500,15500,-58.8,SeaFloor
6500,17500,-51,SeaFloor
52500,19000,-41.4,SeaFloor
30500,21000,-52.6,SeaFloor
8500,23000,-44.5,SeaFloor
54500,24500,-40,SeaFloor
32500,26500,-51.2,SeaFloor
10500,28500,-42.6,SeaFloor
56500,30000,-39.4,SeaFloor
34500,32000,-35.2,SeaFloor
12500,34000,-43.8,SeaFloor
58500,35500,-39.4,SeaFloor
36500,37500,-36.2,SeaFloor
14500,39500,-47.7,SeaFloor
60500,41000,-37,SeaFloor
38500,43000,-32.5,SeaFloor
16500,45000,-47,SeaFloor
62500,46500,-38.7,SeaFloor
40500,48500,-35.4,SeaFloor
18500,50500,-45,SeaFloor
64500,52000,-35.2,SeaFloor
42500,54000,-37.1,SeaFloor
20500,56000,-36.3,SeaFloor
66500,57500,-35.2,SeaFloor
44500,59500,-36.8,SeaFloor
22500,61500,-33.9,SeaFloor
68500,63000,-34.9,SeaFloor
46500,65000,-36.9,SeaFloor
24500,67000,-33.6,SeaFloor
2500,69000,-36.1,SeaFloor
48500,70500,-34.9,SeaFloor
26500,72500,-30.4,SeaFloor
4500,74500,-33.3,SeaFloor
50500,76000,-36.9,SeaFloor
28500,78000,-28.7,SeaFloor
6500,80000,-30.7,SeaFloor
52500,81500,-34.4,SeaFloor
30500,83500,-23.4,SeaFloor
8500,85500,-30.3,SeaFloor
54500,87000,-26.1,SeaFloor
32500,89000,-25.6,SeaFloor
10500,91000,-26.2,SeaFloor
56500,92500,-27.1,SeaFloor
34500,94500,-24,SeaFloor
12500,96500,-24.9,SeaFloor
58500,98000,-28.4,SeaFloor
36500,100000,-28.7,SeaFloor
14500,102000,-24.5,SeaFloor
60500,103500,-28.2,SeaFloor
38500,105500,-27.1,SeaFloor
16500,107500,-24.2,SeaFloor
62500,109000,-26.1,SeaFloor
40500,111000,-24.6,SeaFloor
18500,113000,-21.3,SeaFloor
64500,114500,-26.4,SeaFloor
42500,116500,-22.2,SeaFloor
20500,118500,-18.3,SeaFloor
66500,120000,-25.9,SeaFloor
44500,122000,-20,SeaFloor
22500,124000,-12.6,SeaFloor
68500,125500,-25,SeaFloor
46500,127500,-17.9,SeaFloor
24500,129500,2.9,SeaFloor
2500,131500,-0.7,SeaFloor
48500,133000,-18.1,SeaFloor
46500,2500,-289.1,m1
24500,4500,-380.5,m1
2500,6500,-476.3,m1
48500,8000,-267.9,m1
26500,10000,-334.9,m1
4500,12000,-419.5,m1
50500,13500,-248.4,m1
28500,15500,-268,m1
6500,17500,-318.2,m1
52500,19000,-217.5,m1
30500,21000,-236.4,m1
8500,23000,-253.5,m1
54500,24500,-201.4,m1
32500,26500,-228.6,m1
10500,28500,-241.2,m1
56500,30000,-188.8,m1
34500,32000,-216.9,m1
12500,34000,-226.1,m1
58500,35500,-187.7,m1
36500,37500,-205.1,m1
14500,39500,-212.9,m1
60500,41000,-179.1,m1
38500,43000,-195.8,m1
16500,45000,-191.7,m1
62500,46500,-177,m1
40500,48500,-179.3,m1
18500,50500,-164.8,m1
64500,52000,-174.6,m1
42500,54000,-157.4,m1
20500,56000,-143.8,m1
66500,57500,-171.7,m1
44500,59500,-153.9,m1
22500,61500,-129,m1
68500,63000,-166.9,m1
46500,65000,-138.8,m1
24500,67000,-120.1,m1
2500,69000,-132.3,m1
