X,Y,Z,formation
22500,131500,-64.6,SeaFloor
44500,129500,-61.9,SeaFloor
66500,127500,-62,SeaFloor
20500,126000,-65.8,SeaFloor
42500,124000,-63.4,SeaFloor
64500,122000,-57.5,SeaFloor
18500,120500,-59.7,SeaFloor
40500,118500,-58.8,SeaFloor
62500,116500,-51,SeaFloor
16500,115000,-41.4,SeaFloor
38500,113000,-52.6,SeaFloor
60500,111000,-44.5,SeaFloor
14500,109500,-40,SeaFloor
36500,107500,-51.2,SeaFloor
58500,105500,-42.6,SeaFloor
12500,104000,-39.4,SeaFloor
34500,102000,-35.2,SeaFloor
56500,100000,-43.8,SeaFloor
10500,98500,-39.4,SeaFloor
32500,96500,-36.2,SeaFloor
54500,94500,-47.7,SeaFloor
8500,93000,-37,SeaFloor
30500,91000,-32.5,SeaFloor
52500,89000,-47,SeaFloor
6500,87500,-38.7,SeaFloor
28500,85500,-35.4,SeaFloor
50500,83500,-45,SeaFloor
4500,82000,-35.2,SeaFloor
26500,80000,-37.1,SeaFloor
48500,78000,-36.3,SeaFloor
2500,76500,-35.2,SeaFloor
24500,74500,-36.8,SeaFloor
46500,72500,-33.9,SeaFloor
500,71000,-34.9,SeaFloor
22500,69000,-36.9,SeaFloor
44500,67000,-33.6,SeaFloor
66500,65000,-36.1,SeaFloor
20500,63500,-34.9,SeaFloor
42500,61500,-30.4,SeaFloor
64500,59500,-33.3,SeaFloor
18500,58000,-36.9,SeaFloor
40500,56000,-28.7,SeaFloor
62500,54000,-30.7,SeaFloor
16500,52500,-34.4,SeaFloor
38500,50500,-23.4,SeaFloor
60500,48500,-30.3,SeaFloor
14500,47000,-26.1,SeaFloor
36500,45000,-25.6,SeaFloor
58500,43000,-26.2,SeaFloor
12500,41500,-27.1,SeaFloor
34500,39500,-24,SeaFloor
56500,37500,-24.9,SeaFloor
10500,36000,-28.4,SeaFloor
32500,34000,-28.7,SeaFloor
54500,32000,-24.5,SeaFloor
8500,30500,-28.2,SeaFloor
30500,28500,-27.1,SeaFloor
52500,26500,-24.2,SeaFloor
6500,25000,-26.1,SeaFloor
28500,23000,-24.6,SeaFloor
50500,21000,-21.3,SeaFloor
4500,19500,-26.4,SeaFloor
26500,17500,-22.2,SeaFloor
48500,15500,-18.3,SeaFloor
2500,14000,-25.9,SeaFloor
24500,12000,-20,SeaFloor
46500,10000,-12.6,SeaFloor
500,8500,-25,SeaFloor
22500,6500,-17.9,SeaFloor
44500,4500,2.9,SeaFloor
66500,2500,-0.7,SeaFloor
20500,1000,-18.1,SeaFloor
22500,131500,-289.1,m1
44500,129500,-380.5,m1
66500,127500,-476.3,m1
20500,126000,-267.9,m1
42500,124000,-334.9,m1
64500,122000,-419.5,m1
18500,120500,-248.4,m1
40500,118500,-268,m1
62500,116500,-318.2,m1
16500,115000,-217.5,m1
38500,113000,-236.4,m1
60500,111000,-253.5,m1
14500,109500,-201.4,m1
36500,107500,-228.6,m1
58500,105500,-241.2,m1
12500,104000,-188.8,m1
34500,102000,-216.9,m1
56500,100000,-226.1,m1
10500,98500,-187.7,m1
32500,96500,-205.1,m1
54500,94500,-212.9,m1
8500,93000,-179.1,m1
30500,91000,-195.8,m1
52500,89000,-191.7,m1
6500,87500,-177,m1
28500,85500,-179.3,m1
50500,83500,-164.8,m1
4500,82000,-174.6,m1
26500,80000,-157.4,m1
48500,78000,-143.8,m1
2500,76500,-171.7,m1
24500,74500,-153.9,m1
46500,72500,-129,m1
500,71000,-166.9,m1
22500,69000,-138.8,m1
44500,67000,-120.1,m1
66500,65000,-132.3,m1
20500,63500,-135.8,m1
42500,61500,-118.4,m1
64500,59500,-123.5,m1
18500,58000,-130.5,m1
40500,56000,-113.7,m1
62500,54000,-112.5,m1
16500,52500,-118.7,m1
38500,50500,-108,m1
60500,48500,-101.7,m1
14500,47000,-106.1,m1
36500,45000,-101.6,m1
58500,43000,-92.2,m1
12500,41500,-94.5,m1
34500,39500,-95.3,m1
56500,37500,-88.2,m1
10500,36000,-83.6,m1
32500,34000,-85.6,m1
54500,32000,-86.4,m1
8500,30500,-75.6,m1
30500,28500,-74.8,m1
52500,26500,-77.9,m1
6500,25000,-67.8,m1
28500,23000,-64.4,m1
50500,21000,-70.6,m1
4500,19500,-60,m1
26500,17500,-55.3,m1
48500,15500,-64.1,m1
2500,14000,-53,m1
24500,12000,-49.3,m1
46500,10000,-55.9,m1
500,8500,-45.7,m1
22500,6500,-42.3,m1
44500,4500,-47.6,m1
66500,2500,-48,m1
20500,1000,-37.1,m1
22500,131500,-727.7,m4_1
44500,129500,-838.2,m4_1
66500,127500,-988.6,m4_1
20500,126000,-689,m4_1
42500,124000,-782.4,m4_1
64500,122000,-903.6,m4_1
18500,120500,-660.8,m4_1
40500,118500,-754.7,m4_1
62500,116500,-809.3,m4_1
16500,115000,-616,m4_1
38500,113000,-671.6,m4_1
60500,111000,-728.7,m4_1
14500,109500,-491.8,m4_1
36500,107500,-600.1,m4_1
58500,105500,-671.2,m4_1
12500,104000,-424.3,m4_1
34500,102000,-522.1,m4_1
56500,100000,-615.2,m4_1
10500,98500,-367.4,m4_1
32500,96500,-451.2,m4_1
54500,94500,-568.7,m4_1
8500,93000,-327.8,m4_1
30500,91000,-415.4,m4_1
52500,89000,-517.3,m4_1
6500,87500,-286.2,m4_1
28500,85500,-357.1,m4_1
50500,83500,-441.6,m4_1
4500,82000,-247.5,m4_1
26500,80000,-287.6,m4_1
48500,78000,-348.6,m4_1
2500,76500,-220,m4_1
24500,74500,-273.1,m4_1
46500,72500,-292.4,m4_1
500,71000,-183.7,m4_1
22500,69000,-253.6,m4_1
44500,67000,-277.4,m4_1
66500,65000,-310.2,m4_1
20500,63500,-228.9,m4_1
42500,61500,-270.1,m4_1
64500,59500,-296.9,m4_1
18500,58000,-198.8,m4_1
40500,56000,-262.4,m4_1
62500,54000,-279.4,m4_1
16500,52500,-171.8,m4_1
38500,50500,-259.9,m4_1
60500,48500,-265.2,m4_1
14500,47000,-144.8,m4_1
36500,45000,-227.9,m4_1
58500,43000,-246.8,m4_1
12500,41500,-115.8,m4_1
34500,39500,-198.4,m4_1
56500,37500,-222.3,m4_1
10500,36000,-84.1,m4_1
32500,34000,-161.7,m4_1
54500,32000,-189.6,m4_1
8500,30500,-75.6,m4_1
30500,28500,-128.1,m4_1
52500,26500,-165.5,m4_1
6500,25000,-67.8,m4_1
28500,23000,-101,m4_1
50500,21000,-136.9,m4_1
4500,19500,-60,m4_1
26500,17500,-64.7,m4_1
48500,15500,-109.6,m4_1
2500,14000,-53,m4_1
24500,12000,-49.3,m4_1
46500,10000,-82.3,m4_1
500,8500,-45.7,m4_1
22500,6500,-42.3,m4_1
44500,4500,-51.6,m4_1
66500,2500,-112.7,m4_1
20500,1000,-37.1,m4_1
22500,131500,-828.7,m5
44500,129500,-970.4,m5
66500,127500,-1098.1,m5
20500,126000,-780.8,m5
42500,124000,-919.3,m5
64500,122000,-1022.8,m5
18500,120500,-738.6,m5
40500,118500,-874.8,m5
62500,116500,-943.3,m5
16500,115000,-717.7,m5
38500,113000,-788,m5
60500,111000,-864.9,m5
14500,109500,-694.5,m5
36500,107500,-737.3,m5
58500,105500,-808.2,m5
12500,104000,-660,m5
34500,102000,-693.3,m5
56500,100000,-751.6,m5
10500,98500,-629.8,m5
32500,96500,-650.7,m5
54500,94500,-698.7,m5
8500,93000,-582.6,m5
30500,91000,-603.6,m5
52500,89000,-620.8,m5
6500,87500,-468.8,m5
28500,85500,-477.3,m5
50500,83500,-503.9,m5
4500,82000,-363.2,m5
26500,80000,-344.6,m5
48500,78000,-379.6,m5
2500,76500,-296.2,m5
24500,74500,-309.1,m5
46500,72500,-324.9,m5
500,71000,-251.7,m5
22500,69000,-283.2,m5
44500,67000,-314.2,m5
66500,65000,-342.2,m5
