X,Y,Z,Porosity,Attr,AI,Sequence,Well
41600,74700,-0.35,36.3,0.9458823561668396,3523177.0,m1,m27
41600,74700,-1.85,32.2,0.9449760298079427,,m1,m27
41600,74700,-2.77,24.7,0.9442861890186106,,m1,m27
41600,74700,-4.27,32.9,0.9357775874496382,,m1,m27
41600,74700,-5.81,37.3,0.9195063427447395,3576453.9999999995,m1,m27
41600,74700,-7.13,36.2,0.9007949886120417,,m1,m27
41600,74700,-8.38,24.9,0.8794930867675472,,m1,m27
41600,74700,-9.73,34.6,0.8595857488503109,3815605.0,m1,m27
41600,74700,-10.9,39.1,0.8475411716132064,3708750.0,m1,m27
41600,74700,-12.38,38.4,0.8369108617347116,3978040.0,m1,m27
41600,74700,-13.39,17.5,0.8464952942568603,4119528.0,m1,m27
41600,74700,-13.51,30.6,0.8476340387149375,,m1,m27
41600,74700,-15.01,36.3,0.861868344440901,3746330.0,m1,m27
41600,74700,-15.61,46.8,0.8740116286006112,3287175.0,m1,m27
41600,74700,-17.04,36.1,0.9033120012693979,3785565.0,m1,m27
41600,74700,-17.99,44.9,0.9216241715084751,3393390.0,m1,m27
41600,74700,-19.48,47.0,0.9330275570581218,3324145.0,m1,m27
41600,74700,-20.46,51.3,0.9405277703726544,2749562.0,m1,m27
41600,74700,-21.62,51.0,0.9385660029369003,,m1,m27
41600,74700,-22.03,54.1,0.936434122076893,,m1,m27
41600,74700,-23.03,43.1,0.9312344126622413,3623556.0,m1,m27
41600,74700,-24.53,34.9,0.9156200962321334,3697897.0,m1,m27
41600,74700,-25.68,38.1,0.8993915131171671,3539132.0,m1,m27
41600,74700,-26.44,45.8,0.8886665364498851,2593515.0,m1,m27
41600,74700,-28.21,46.3,0.8795838876556182,3567630.0,m1,m27
41600,74700,-29.66,38.7,0.8736541731781134,,m1,m27
41600,74700,-30.18,39.0,0.8729069640104948,3237360.0,m1,m27
41600,74700,-31.93,49.4,0.8703923177733172,3072404.9999999995,m1,m27
41600,74700,-32.82,44.2,0.8532398413139889,,m1,m27
41600,74700,-38.94,46.8,0.584603054558609,,m1,m27
41600,74700,-41.7,42.7,0.5135058672708244,3232552.0,m1,m27
