X,Y,Z,Porosity,Sequence,Well
28200,76200,-372.13,10.7,m54,m28
28200,76200,-568.73,13.3,m58,m28
28200,76200,-671.83,15.0,m58,m28
28200,76200,-693.95,15.6,m58,m28
28200,76200,-692.0,16.0,m58,m28
28900,87700,-686.04,16.2,m54,m29
28200,76200,-686.75,16.8,m58,m28
27400,59300,-46.39,17.5,m1,m27
28200,76200,-693.14,18.3,m58,m28
28200,76200,-690.56,18.7,m58,m28
28200,76200,-366.69,19.7,m54,m28
28200,76200,-688.95,19.7,m58,m28
28200,76200,-688.14,19.8,m58,m28
28200,76200,-536.04,20.7,m54,m28
28200,76200,-368.41,20.8,m54,m28
28200,76200,-357.45,21.2,m54,m28
28200,76200,-646.16,21.6,m58,m28
28200,76200,-543.8199999999999,22.3,m54,m28
28200,76200,-368.44,22.3,m54,m28
28200,76200,-655.18,23.2,m58,m28
28200,76200,-542.27,23.9,m54,m28
28900,87700,-708.12,24.4,m58,m29
28200,76200,-564.94,24.6,m58,m28
27400,59300,-35.77,24.7,m1,m27
27400,59300,-41.38,24.9,m1,m27
28200,76200,-533.01,25.0,m54,m28
28200,76200,-566.06,25.0,m58,m28
28200,76200,-379.28,25.2,m54,m28
28900,87700,-706.78,25.2,m58,m29
27400,59300,-171.37,25.4,m41,m27
28200,76200,-365.12,25.4,m54,m28
27400,59300,-113.41,25.5,m1,m27
28200,76200,-571.07,25.5,m58,m28
28900,87700,-703.78,25.6,m58,m29
28200,76200,-534.5699999999999,25.6,m54,m28
28200,76200,-389.99,25.7,m54,m28
28200,76200,-387.59,25.8,m54,m28
28200,76200,-577.12,26.0,m58,m28
28200,76200,-570.26,26.9,m58,m28
27400,59300,-426.91,27.4,m58,m27
28200,76200,-304.33,27.5,m5,m28
28200,76200,-371.16,27.6,m54,m28
28200,76200,-377.79,27.6,m54,m28
28200,76200,-383.96,27.6,m54,m28
27400,59300,-526.28,27.6,m6,m27
28900,87700,-322.39,27.8,m41,m29
28200,76200,-382.34,28.0,m54,m28
28200,76200,-360.88,28.1,m54,m28
28200,76200,-361.48,28.3,m54,m28
28900,87700,-300.96,28.5,m41,m29
28200,76200,-540.6,28.8,m54,m28
28900,87700,-672.23,29.1,m54,m29
28200,76200,-537.5699999999999,29.4,m54,m28
27400,59300,-432.81,29.5,m58,m27
28200,76200,-370.0,29.8,m54,m28
28900,87700,-761.8,30.2,m58,m29
28200,76200,-572.54,30.3,m58,m28
28200,76200,-574.02,30.4,m58,m28
28200,76200,-610.74,30.6,m58,m28
28200,76200,-696.2,30.6,m58,m28
27400,59300,-46.51,30.6,m1,m27
28200,76200,-539.1700000000001,30.7,m54,m28
28200,76200,-578.21,30.9,m58,m28
28900,87700,-49.41,30.9,m1,m29
28200,76200,-596.06,31.1,m58,m28
27400,59300,-388.23,31.1,m58,m27
28900,87700,-702.88,31.4,m58,m29
28200,76200,-608.78,31.5,m58,m28
28900,87700,-79.72999999999999,31.5,m1,m29
28200,76200,-504.0,31.6,m54,m28
28200,76200,-611.42,31.7,m58,m28
28200,76200,-615.7,31.9,m58,m28
28200,76200,-364.04,31.9,m54,m28
27400,59300,-372.83,32.0,m58,m27
27400,59300,-34.85,32.2,m1,m27
28900,87700,-740.56,32.2,m58,m29
28200,76200,-600.12,32.4,m58,m28
27400,59300,-560.56,32.5,o1,m27
27400,59300,-393.08,32.6,m58,m27
28200,76200,-579.14,32.6,m58,m28
28200,76200,-613.77,32.6,m58,m28
27400,59300,-560.41,32.7,o1,m27
28200,76200,-614.54,32.8,m58,m28
27400,59300,-37.269999999999996,32.9,m1,m27
28200,76200,-380.84,33.2,m54,m28
28200,76200,-566.57,33.2,m58,m28
28200,76200,-609.3,33.3,m58,m28
28900,87700,-735.84,33.4,m58,m29
28200,76200,-612.61,33.5,m58,m28
28200,76200,-607.47,33.6,m58,m28
27400,59300,-372.3,33.7,m58,m27
27400,59300,-374.64,33.7,m58,m27
27400,59300,-168.44,33.8,m41,m27
28900,87700,-705.13,34.0,m58,m29
27400,59300,-116.22,34.2,m1,m27
27400,59300,-128.67000000000002,34.3,m41,m27
28200,76200,-606.17,34.4,m58,m28
27400,59300,-42.730000000000004,34.6,m1,m27
27400,59300,-527.51,34.6,m6,m27
28900,87700,-763.31,34.6,m58,m29
28200,76200,-617.66,34.8,m58,m28
27400,59300,-143.7,34.8,m41,m27
27400,59300,-57.53,34.9,m1,m27
28900,87700,-303.97,35.0,m41,m29
27400,59300,-554.64,35.0,o1,m27
27400,59300,-535.9100000000001,35.1,m6,m27
28200,76200,-441.83,35.1,m54,m28
28900,87700,-742.06,35.2,m58,m29
28200,76200,-617.01,35.4,m58,m28
28200,76200,-618.75,35.5,m58,m28
28200,76200,-300.99,35.6,m5,m28
28200,76200,-362.52,35.7,m54,m28
27400,59300,-556.14,35.8,o1,m27
28200,76200,-601.64,35.9,m58,m28
28200,76200,-433.15,35.9,m54,m28
28200,76200,-635.04,36.1,m58,m28
27400,59300,-50.04,36.1,m1,m27
27400,59300,-372.55,36.1,m58,m27
27400,59300,-550.34,36.2,o1,m27
27400,59300,-558.24,36.2,o1,m27
27400,59300,-40.13,36.2,m1,m27
27400,59300,-33.35,36.3,m1,m27
27400,59300,-48.01,36.3,m1,m27
27400,59300,-122.48,36.5,m1,m27
27400,59300,-89.32,36.5,m1,m27
27400,59300,-550.43,36.6,o1,m27
28200,76200,-591.62,36.6,m58,m28
28200,76200,-437.41,36.6,m54,m28
27400,59300,-199.11,36.7,m41,m27
28900,87700,-298.01,36.7,m41,m29
28200,76200,-435.17,36.7,m54,m28
28900,87700,-734.34,36.8,m58,m29
28200,76200,-599.16,36.8,m58,m28
28200,76200,-292.71,36.9,m5,m28
27400,59300,-80.3,36.9,m1,m27
28200,76200,-661.18,36.9,m58,m28
27400,59300,-561.91,37.0,o1,m27
28900,87700,-103.41,37.0,m1,m29
27400,59300,-533.21,37.1,m6,m27
27400,59300,-552.88,37.1,o1,m27
28900,87700,-181.97,37.1,m1,m29
27400,59300,-525.79,37.1,m6,m27
27400,59300,-450.84,37.2,m58,m27
28900,87700,-151.70999999999998,37.3,m1,m29
27400,59300,-258.39,37.3,m5,m27
28200,76200,-604.73,37.3,m58,m28
27400,59300,-38.81,37.3,m1,m27
27400,59300,-111.22,37.4,m1,m27
27400,59300,-81.42,37.4,m1,m27
27400,59300,-551.66,37.5,o1,m27
27400,59300,-215.98,37.5,m41,m27
27400,59300,-524.6800000000001,37.6,m6,m27
27400,59300,-522.78,37.6,m6,m27
28900,87700,-738.9,37.6,m58,m29
28900,87700,-701.99,37.7,m54,m29
27400,59300,-108.65,37.8,m1,m27
28900,87700,-732.93,37.8,m58,m29
27400,59300,-381.07,37.8,m58,m27
28900,87700,-360.66,37.8,m41,m29
28900,87700,-313.19,37.8,m41,m29
28900,87700,-76.52000000000001,37.9,m1,m29
27400,59300,-537.65,38.0,m6,m27
27400,59300,-58.68,38.1,m1,m27
28200,76200,-400.6,38.2,m54,m28
27400,59300,-411.21,38.2,m58,m27
27400,59300,-399.64,38.2,m58,m27
27400,59300,-438.44,38.2,m58,m27
27400,59300,-447.96,38.2,m58,m27
27400,59300,-112.12,38.2,m1,m27
28200,76200,-564.41,38.2,m58,m28
27400,59300,-443.22,38.3,m58,m27
28900,87700,-669.38,38.4,m54,m29
28900,87700,-700.73,38.4,m54,m29
27400,59300,-45.38,38.4,m1,m27
27400,59300,-507.3,38.5,m58,m27
27400,59300,-532.96,38.5,m6,m27
27400,59300,-377.87,38.5,m58,m27
27400,59300,-415.76,38.5,m58,m27
28200,76200,-634.22,38.6,m58,m28
28200,76200,-281.7,38.6,m5,m28
28900,87700,-652.18,38.6,m54,m29
28900,87700,-515.24,38.6,m5,m29
28900,87700,-328.49,38.6,m41,m29
28900,87700,-340.86,38.6,m41,m29
27400,59300,-449.46,38.7,m58,m27
28200,76200,-631.95,38.7,m58,m28
27400,59300,-446.24,38.7,m58,m27
28900,87700,-769.39,38.7,m58,m29
27400,59300,-62.66,38.7,m1,m27
28200,76200,-546.88,38.7,m54,m28
28200,76200,-576.47,38.7,m58,m28
28200,76200,-699.01,38.8,m6,m28
28200,76200,-647.83,38.9,m58,m28
27400,59300,-546.46,39.0,o1,m27
28900,87700,-737.41,39.0,m58,m29
27400,59300,-63.18,39.0,m1,m27
28200,76200,-593.02,39.0,m58,m28
28200,76200,-653.6,39.0,m58,m28
28200,76200,-409.54,39.0,m54,m28
27400,59300,-418.81,39.0,m58,m27
28200,76200,-597.63,39.0,m58,m28
27400,59300,-414.91,39.1,m58,m27
27400,59300,-222.08,39.1,m41,m27
27400,59300,-86.06,39.1,m1,m27
27400,59300,-43.9,39.1,m1,m27
27400,59300,-531.61,39.3,m6,m27
28200,76200,-365.43,39.3,m54,m28
28200,76200,-397.45,39.4,m54,m28
28200,76200,-367.24,39.4,m54,m28
