X,Y,Z,Porosity,Sequence,Well
27400,59300,-46.39,17.5,m1,m27
27400,59300,-35.77,24.7,m1,m27
27400,59300,-41.38,24.9,m1,m27
27400,59300,-171.37,25.4,m41,m27
27400,59300,-113.41,25.5,m1,m27
27400,59300,-426.91,27.4,m58,m27
27400,59300,-526.28,27.6,m6,m27
27400,59300,-432.81,29.5,m58,m27
27400,59300,-46.51,30.6,m1,m27
27400,59300,-388.23,31.1,m58,m27
27400,59300,-372.83,32,m58,m27
27400,59300,-34.85,32.2,m1,m27
27400,59300,-560.56,32.5,o1,m27
27400,59300,-393.08,32.6,m58,m27
27400,59300,-560.41,32.7,o1,m27
27400,59300,-37.27,32.9,m1,m27
27400,59300,-372.3,33.7,m58,m27
27400,59300,-374.64,33.7,m58,m27
27400,59300,-168.44,33.8,m41,m27
27400,59300,-116.22,34.2,m1,m27
27400,59300,-128.67,34.3,m41,m27
27400,59300,-42.73,34.6,m1,m27
27400,59300,-527.51,34.6,m6,m27
27400,59300,-143.7,34.8,m41,m27
27400,59300,-57.53,34.9,m1,m27
27400,59300,-554.64,35,o1,m27
27400,59300,-535.91,35.1,m6,m27
27400,59300,-556.14,35.8,o1,m27
27400,59300,-50.04,36.1,m1,m27
27400,59300,-372.55,36.1,m58,m27
27400,59300,-550.34,36.2,o1,m27
27400,59300,-558.24,36.2,o1,m27
27400,59300,-40.13,36.2,m1,m27
27400,59300,-33.35,36.3,m1,m27
27400,59300,-48.01,36.3,m1,m27
27400,59300,-122.48,36.5,m1,m27
27400,59300,-89.32,36.5,m1,m27
27400,59300,-550.43,36.6,o1,m27
27400,59300,-199.11,36.7,m41,m27
27400,59300,-80.3,36.9,m1,m27
27400,59300,-561.91,37,o1,m27
27400,59300,-533.21,37.1,m6,m27
27400,59300,-552.88,37.1,o1,m27
27400,59300,-525.79,37.1,m6,m27
27400,59300,-450.84,37.2,m58,m27
27400,59300,-258.39,37.3,m5,m27
27400,59300,-38.81,37.3,m1,m27
27400,59300,-111.22,37.4,m1,m27
27400,59300,-81.42,37.4,m1,m27
27400,59300,-551.66,37.5,o1,m27
27400,59300,-215.98,37.5,m41,m27
27400,59300,-524.68,37.6,m6,m27
27400,59300,-522.78,37.6,m6,m27
27400,59300,-108.65,37.8,m1,m27
27400,59300,-381.07,37.8,m58,m27
27400,59300,-537.65,38,m6,m27
27400,59300,-58.68,38.1,m1,m27
27400,59300,-411.21,38.2,m58,m27
27400,59300,-399.64,38.2,m58,m27
27400,59300,-438.44,38.2,m58,m27
27400,59300,-447.96,38.2,m58,m27
27400,59300,-112.12,38.2,m1,m27
27400,59300,-443.22,38.3,m58,m27
27400,59300,-45.38,38.4,m1,m27
27400,59300,-507.3,38.5,m58,m27
27400,59300,-532.96,38.5,m6,m27
27400,59300,-377.87,38.5,m58,m27
27400,59300,-415.76,38.5,m58,m27
27400,59300,-449.46,38.7,m58,m27
27400,59300,-446.24,38.7,m58,m27
27400,59300,-62.66,38.7,m1,m27
27400,59300,-546.46,39,o1,m27
27400,59300,-63.18,39,m1,m27
27400,59300,-418.81,39,m58,m27
27400,59300,-414.91,39.1,m58,m27
27400,59300,-222.08,39.1,m41,m27
27400,59300,-86.06,39.1,m1,m27
27400,59300,-43.9,39.1,m1,m27
27400,59300,-531.61,39.3,m6,m27
27400,59300,-95.12,39.5,m1,m27
27400,59300,-370.16,39.5,m58,m27
27400,59300,-420.27,39.6,m58,m27
27400,59300,-371.89,39.7,m58,m27
27400,59300,-530.35,39.7,m6,m27
27400,59300,-559.79,39.7,o1,m27
27400,59300,-541.49,39.8,m6,m27
27400,59300,-110.37,39.8,m1,m27
27400,59300,-435.99,39.8,m58,m27
27400,59300,-437.15,39.9,m58,m27
27400,59300,-452.34,39.9,m58,m27
27400,59300,-111.62,40.1,m1,m27
27400,59300,-516.44,40.2,m58,m27
27400,59300,-125.62,40.2,m1,m27
27400,59300,-417.31,40.4,m58,m27
27400,59300,-370.16,40.5,m58,m27
27400,59300,-430,40.6,m58,m27
27400,59300,-75.27,40.6,m1,m27
27400,59300,-514.91,40.9,m58,m27
27400,59300,-412.71,41,m58,m27
27400,59300,-422.49,41,m58,m27
27400,59300,-389.56,41.1,m58,m27
27400,59300,-546.62,41.2,o1,m27
27400,59300,-209.91,41.3,m41,m27
27400,59300,-121.37,41.4,m1,m27
27400,59300,-441.71,41.5,m58,m27
27400,59300,-444.74,41.5,m58,m27
27400,59300,-383.66,41.5,m58,m27
27400,59300,-104.27,41.6,m1,m27
27400,59300,-506.05,41.6,m58,m27
27400,59300,-82.65,41.8,m1,m27
27400,59300,-230.44,41.8,m41,m27
27400,59300,-119.87,42,m1,m27
27400,59300,-520.09,42.1,m58,m27
27400,59300,-387.5,42.1,m58,m27
27400,59300,-228.94,42.1,m41,m27
27400,59300,-232.98,42.1,m41,m27
