X,Y,Z,Porosity,Sequence
40800,57800,-223.68,52,m41
40800,57800,-225.18,46.6,m41
40800,57800,-226.73,48.5,m41
40800,57800,-228.05,51.8,m41
40800,57800,-229.62,49.8,m41
40800,57800,-231.11,52.2,m41
40800,57800,-232.83,50.3,m41
40800,57800,-234.33,52.9,m41
40800,57800,-235.88,52.6,m41
40800,57800,-237.38,53.5,m41
40800,57800,-239.59,50.7,m41
40800,57800,-240.88,50.1,m41
40800,57800,-242.02,53.2,m41
40800,57800,-243.52,53,m41
40800,57800,-245.8,42.4,m5
40800,57800,-246.7,38.6,m5
40800,57800,-248.03,48.8,m5
40800,57800,-249.53,50.3,m5
40800,57800,-251.65,58.7,m5
40800,57800,-253.73,58.4,m5
40800,57800,-254.01,56.3,m5
40800,57800,-257.71,36.9,m5
40800,57800,-260.67,41.8,m5
40800,57800,-263.33,40.6,m5
40800,57800,-264.81,43.6,m5
40800,57800,-265.99,35.6,m5
40800,57800,-269.33,27.5,m5
40800,57800,-272.21,44.2,m5
40800,57800,-274.95,44.9,m54
40800,57800,-275.3,55.2,m54
40800,57800,-277.01,54.4,m54
40800,57800,-278.34,44.7,m54
40800,57800,-279.84,50.2,m54
40800,57800,-281.34,43.3,m54
40800,57800,-284.34,44.8,m54
40800,57800,-287.68,49.5,m54
40800,57800,-290.65,49.5,m54
40800,57800,-292.41,49.5,m54
40800,57800,-293.27,57.1,m54
40800,57800,-296.75,56.5,m54
40800,57800,-297.73,54.6,m54
40800,57800,-298.58,55.9,m54
40800,57800,-298.68,52.9,m54
40800,57800,-299.3,51.4,m54
40800,57800,-299.67,54.9,m54
40800,57800,-301.14,50.8,m54
40800,57800,-303.25,59.8,m54
40800,57800,-304.7,52.8,m54
40800,57800,-306.59,58,m54
40800,57800,-307.36,58.4,m54
40800,57800,-309.26,56.4,m54
40800,57800,-310.97,50.9,m54
40800,57800,-311.77,58.2,m54
40800,57800,-313.52,54.4,m54
40800,57800,-314.77,57.4,m54
40800,57800,-318.41,59.1,m54
40800,57800,-320.1,56.3,m54
40800,57800,-320.99,51.1,m54
40800,57800,-322.45,21.2,m54
40800,57800,-323.39,54,m54
40800,57800,-323.87,52.3,m54
40800,57800,-324.04,45.4,m54
40800,57800,-325.39,45,m54
40800,57800,-325.82,41.3,m54
