X,Y,Z,Porosity,unit
40100,46300,0,43.3,m1
40100,46300,-7.22,50.8,m1
40100,46300,-10.32,52,m1
40100,46300,-11.73,53.5,m1
40100,46300,-13.41,30.9,m1
40100,46300,-16.65,40,m1
40100,46300,-40.52,37.9,m1
40100,46300,-43.73,31.5,m1
40100,46300,-49.78,46.1,m1
40100,46300,-53.2,41.2,m1
40100,46300,-67.41,37,m1
40100,46300,-76.74,41,m1
40100,46300,-115.71,37.3,m1
40100,46300,-145.97,37.1,m1
40100,46300,-149.66,42.9,m1
40100,46300,-155.56,41.6,m1
40100,46300,-160.34,78.3,m41
40100,46300,-192.26,53.9,m41
40100,46300,-193.57,40.9,m41
40100,46300,-194.93,48.1,m41
40100,46300,-222.36,46.1,m41
40100,46300,-222.8,42.7,m41
40100,46300,-225.6,54.4,m41
40100,46300,-231.63,44.9,m41
40100,46300,-234.56,45.2,m41
40100,46300,-235.31,43.4,m41
40100,46300,-262.01,36.7,m41
40100,46300,-264.96,28.5,m41
40100,46300,-267.97,35,m41
40100,46300,-271.31,46.2,m41
40100,46300,-274.14,44.5,m41
40100,46300,-277.19,37.8,m41
40100,46300,-280.46,43.4,m41
40100,46300,-281.97,45.2,m41
40100,46300,-283.77,45.6,m41
40100,46300,-285.26,42.4,m41
40100,46300,-286.39,27.8,m41
40100,46300,-289.61,49.8,m41
40100,46300,-291.11,46.3,m41
40100,46300,-292.49,38.6,m41
40100,46300,-294.94,41.6,m41
40100,46300,-298.69,42.9,m41
40100,46300,-300.2,41,m41
40100,46300,-302.46,42.7,m41
40100,46300,-304.86,38.6,m41
40100,46300,-306.38,41.6,m41
40100,46300,-307.96,39.6,m41
40100,46300,-309.46,44.6,m41
40100,46300,-311.41,45.3,m41
40100,46300,-312.71,50.6,m41
40100,46300,-314.64,44.7,m41
40100,46300,-315.33,41.4,m41
40100,46300,-317.17,47.1,m41
40100,46300,-318.17,49.6,m41
40100,46300,-320.11,46.9,m41
40100,46300,-321.61,42.6,m41
40100,46300,-323.15,52.6,m41
40100,46300,-324.66,37.8,m41
