X,Y,Z,Porosity,Permeability,Sequence
28750,87750,-1090,44.47105359,4.18E-15,o1
28750,87750,-1070,40.08273422,1.63E-15,o1
28750,87750,-1050,27.24898356,1.03E-16,o1
28750,87750,-1030,41.97360989,2.44E-15,o1
28750,87750,-1010,39.57395195,1.46E-15,o1
28750,87750,-990,42.34888582,2.65E-15,o1
28750,87750,-970,34.50360171,4.90E-16,o1
28750,87750,-950,41.00140676,1.98E-15,o1
28750,87750,-930,41.44903626,2.18E-15,o1
28750,87750,-910,37.24180659,8.83E-16,o1
28750,87750,-890,40.70606592,1.86E-15,o1
28750,87750,-870,38.50752133,1.16E-15,o1
28750,87750,-850,41.89431859,2.40E-15,o1
28750,87750,-830,40.32495473,1.71E-15,o1
28750,87750,-810,41.72032245,2.31E-15,m6
28750,87750,-790,48.9011689,1.09E-14,m58
28750,87750,-770,43.16694593,3.16E-15,m58
28750,87750,-750,59.69644555,1.11E-13,m58
28750,87750,-730,50.48142574,1.53E-14,m58
28750,87750,-710,48.88207535,1.08E-14,m58
28750,87750,-690,57.59261646,7.05E-14,m54
28750,87750,-670,43.11309702,3.12E-15,m54
28750,87750,-650,40.16796328,1.66E-15,m54
28750,87750,-630,49.36059475,1.20E-14,m54
28750,87750,-610,52.75846783,2.49E-14,m54
28750,87750,-590,50.72832536,1.61E-14,m54
28750,87750,-570,49.4260727,1.22E-14,m54
28750,87750,-550,42.13920832,2.53E-15,m54
28750,87750,-530,47.45496843,7.95E-15,m5
28750,87750,-510,45.57221746,5.30E-15,m5
28750,87750,-490,51.07282783,1.73E-14,m5
28750,87750,-470,56.73099098,5.86E-14,m5
28750,87750,-450,48.58766716,1.01E-14,m5
28750,87750,-430,51.77439312,2.01E-14,m5
28750,87750,-410,57.85289958,7.45E-14,m5
28750,87750,-390,49.51314641,1.24E-14,m5
28750,87750,-370,51.38231861,1.85E-14,m41
28750,87750,-350,49.68106871,1.28E-14,m41
28750,87750,-330,40.87280804,1.93E-15,m41
28750,87750,-310,46.27655975,6.17E-15,m41
28750,87750,-290,33.62506375,4.05E-16,m41
28750,87750,-270,42.11683375,2.52E-15,m41
28750,87750,-250,44.86905649,4.56E-15,m41
28750,87750,-230,44.84839848,4.54E-15,m41
28750,87750,-210,49.2148448,1.16E-14,m41
28750,87750,-190,55.85506023,4.85E-14,m41
28750,87750,-170,33.11296448,3.63E-16,m1
28750,87750,-150,40.57002255,1.81E-15,m1
28750,87750,-130,49.46446447,1.23E-14,m1
28750,87750,-110,32.04770144,2.89E-16,m1
28750,87750,-90,40.47237874,1.77E-15,m1
28750,87750,-70,30.40570663,2.03E-16,m1
28750,87750,-50,33.23752564,3.73E-16,m1
